HEAD	PHRASE	FREQ
portion	portion of his <M>	41
<M>	<M> on box	41
<M>	<M> had fled	41
primogeniture	<M> primogeniture	41
school	school for <M>	41
bosses	<W> bosses	41
<W>	<W> with function	41
<M>	you rich <M>	41
<M>	two <M> wounded	41
<M>	three such <M>	41
beck	beck and call of <M>	41
<M>	external <M>	41
<W>	<W> grew up	41
<M>	<M> of pen	41
<M>	our american <M>	41
<M>	chief <M> of town	41
<M>	quite <M>	41
degradation	degradation of <M>	41
<M>	<M> of every language	41
<M>	<M> would go	41
<W>	many <W> with ssa	41
<M>	<M> on stage	41
<M>	many other <M> of genius	41
<M>	all <M> and all nations	41
nature	nature of all <M>	41
<W>	<W> of us	41
defeat	defeat of <M>	41
<W>	most indian <W>	41
construction	construction of <W>	41
horse	<M> horse	41
survivors	<W> survivors	41
<M>	young <M> of neighborhood	41
<M>	<M> had sought	41
meiosis	<M> meiosis	41
<M>	<M> were talking	41
<W>	pale <W>	41
guests	his <M> guests	41
<M>	<M> and marriage	41
<M>	all <M> and animals	41
<W>	helping <W>	41
<M>	<M> for navy	41
thought	<M> 's thought	41
<M>	rear rank <M>	41
<M>	<M> devote	41
<M>	elizabethan <M>	41
<M>	<M> laboring	41
<W>	<W> in our sample	41
<M>	all wounded <M>	41
space	space for <W>	41
desperation	desperation of <M>	41
<W>	<W> in our society	41
<M>	lane 's <M>	41
<M>	most <M> know	41
personality	<W> personality	41
<M>	two hungry <M>	41
proverb	proverb among <M>	41
body	black <M> body	41
<M>	few business <M>	41
atrocities	atrocities against <W>	41
<W>	some american <W>	41
<M>	<M> traveled	41
<M>	white american <M>	40
<W>	all <W> had	40
<M>	<M> are given	40
<W>	<W> of caste	40
protector	<M> protector	40
<M>	neither <M> nor devils	40
<W>	no more <W>	40
swimmers	<W> swimmers	40
intention	intention of <M>	40
function	<M> function	40
<M>	<M> have reached	40
functions	<W> functions	40
potential	potential of <W>	40
study	recent study of <W>	40
<M>	<M> under their command	40
<M>	most literary <M>	40
<M>	<M> at station	40
<M>	<M> as trees	40
champion	champion of <W> 's rights	40
<W>	tahitian <W>	40
<M>	three <M> came	40
<W>	<W> grinding	40
opportunities	opportunities of <W>	40
speech	<M> speech	40
extent	greater extent than <M>	40
<M>	<M> in voice	40
<M>	<M> administer	40
partners	partners of <W>	40
<M>	<M> in disguise	40
<M>	<M> of achievement	40
groups	various groups of <M>	40
thirds	two thirds of <M>	40
third	third of his <M>	40
<M>	<M> fishing	40
<M>	five <M> and horses	40
<M>	two <M> on ground	40
<M>	two <M> on foot	40
<W>	white american <W>	40
<M>	many influential <M>	40
<M>	<M> informed	40
<M>	<M> need not	40
<M>	two <M> were talking	40
information	information about <M>	40
<M>	van buren <M>	40
<M>	<M> across river	40
sample	national sample of <W>	40
<W>	many african <W>	40
<W>	<W> voted	40
<M>	two <M> having	40
<W>	<W> of utah	40
<M>	<M> from regiments	40
<M>	<M> had formed	40
<M>	ohio <M>	40
<M>	boat <M>	40
<M>	young <M> trained	40
love	love for his <M>	40
responses	responses of <W>	40
<W>	<W> of refinement	40
<M>	<M> have written	40
<M>	<M> have undergone	40
<M>	<M> would become	40
<W>	<W> for reasons	40
<W>	buddhist <W>	40
hospital	<W> 's hospital	40
<M>	opinion <M>	40
hormone	<W> sex hormone	40
escort	escort of <M>	40
<W>	<W> with fibroids	40
number	only small number of <M>	40
treachery	treachery of <M>	40
<M>	<M> in jobs	40
worship	<M> worship	40
fortunes	fortunes of <W>	40
<W>	two aged <W>	40
figures	his <W> figures	40
esteem	esteem of his <M>	40
learning	<W> learning	40
rights	civil rights and <W> 's movements	40
<W>	<W> as property	40
friendships	friendships of <M>	40
<M>	shrewd business <M>	40
<M>	ordained <M>	40
cent	cent of <M>	40
<M>	<M> in market	40
<M>	<M> in his position	40
<M>	<M> of orders	40
<M>	<M> were married	40
ordination	ordination of <W> to priesthood	40
tables	rich <M> 's tables	40
<W>	<W> did not want	40
couple	couple of our <M>	40
representation	<W> 's descriptive representation	40
officials	<W> officials	40
ships	both ships and <M>	40
<M>	good union <M>	40
groups	some <W> 's groups	40
lookout	lookout for <M>	40
side	one side and <M>	40
academy	<W> academy	40
appointment	appointment of <W>	40
requirements	requirements of <M>	40
cleverness	cleverness of <W>	40
<M>	<M> pride	40
<M>	young <M> of means	40
expression	expression of <M>	40
hiring	hiring of <W>	40
<M>	wall street <M>	40
generosity	generosity of <M>	40
accomplice	his <W> accomplice	40
<M>	<M> without	40
embodiment	<W> embodiment	40
<M>	bassett 's <M>	40
<W>	shakuuran <W>	40
class	better class of <W>	40
consideration	consideration of <W>	40
participation	political participation of <W>	40
boys	all boys and <M>	40
<W>	young <W> of day	40
<W>	many <W> of color	40
chief	chief and <M>	40
<M>	best <M> in england	40
relations	power relations between <M>	40
consent	consent of <W>	40
<M>	<M> in store	40
inequality	inequality of <M>	40
earners	<W> wage earners	40
<W>	<W> in social	40
<M>	<M> has been	40
<W>	seducing <W>	40
<W>	secular <W>	40
mortality	mortality among <W>	40
<W>	jewish <W> and children	40
<W>	<W> encountered	40
<M>	<M> on all sides	40
<M>	<M> were destined	40
herd	common herd of <M>	40
<W>	postmenopausal <W> taking	40
experience	my experience of <M>	40
<M>	<M> been	40
experience	experience with <W>	40
<W>	<W> in advertising	40
<M>	<M> are waiting	40
necessity	necessity of <M>	40
<M>	<M> as whole	40
<M>	<M> of villages	40
<M>	<M> starting	40
<W>	<W> makes	40
<W>	<W> appearing	40
<M>	remarkable <M> of his time	40
<M>	removal <M>	40
<W>	<W> with status	40
group	group of his <M>	40
behaviors	<W> behaviors	40
<M>	<M> in process	40
<W>	<W> can be	40
<W>	<W> in recovery	40
<M>	<M> develop	40
<M>	more <M> like him	40
<M>	<M> and demons	40
<W>	<W> to spin	40
weakness	weakness for <M>	40
side	side with <M>	40
<M>	<M> once	40
<M>	<M> in north	40
<W>	specific <W>	40
<W>	cleaning <W>	40
<M>	<M> with ejaculation	40
visitor	<M> visitor	40
visions	visions of <W>	40
<M>	<M> of greece	40
<W>	<W> of our land	40
condition	condition of his <M>	40
<M>	two extra <M>	40
time	<W> time	40
<W>	<W> like herself	40
rights	their rights as <M>	40
<M>	other <M> around him	40
expectations	all <M> 's expectations	40
caprices	caprices of <W>	40
<M>	<M> and morals	40
torture	torture of <W>	40
<W>	unmarried young <W>	40
<W>	<W> and justice	40
<M>	no <M> about	40
<M>	all <M> of business	40
norm	norm for <W>	40
<M>	<M> and offspring	40
educators	<W> educators	40
<W>	fairest <W>	40
<W>	<W> of <W>	40
<M>	border <M>	40
<W>	third <W>	40
clamour	clamour of <M>	40
<W>	manchu <W>	40
slayer	slayer of <M>	40
<M>	<M> of feet	40
familiarity	familiarity with <M>	40
<M>	masterful <M>	40
<M>	<M> attempting	40
communities	<W> 's communities	40
maintenance	maintenance of <M>	40
attribute	<M> attribute	40
temptations	temptations of <M>	40
<M>	other blind <M>	40
presence	presence of his <M>	40
solidarity	solidarity with <W>	40
affairs	affairs of <W>	40
<M>	harvest <M>	40
<M>	<M> of connaught	40
<M>	great <M> of his day	40
loves	loves of <M>	40
siblings	<M> siblings	40
origin	origin of <M>	40
<M>	young <M> gathered	40
<M>	<M> upon whose	40
<W>	<W> faced	40
<M>	<M> before god	40
<M>	modern young <M>	40
prostitutes	prostitutes and <W>	40
<M>	hindu <M>	40
prostitution	prostitution of <W>	40
<M>	incarcerated <M>	40
<M>	<M> and faces	40
<M>	all <M> of intelligence	40
mobility	mobility of <W>	40
intelligence	<M> intelligence	40
ejaculation	<W> ejaculation	40
<M>	no <M> left	40
<W>	<W> planning	40
victims	<W> rape victims	40
<W>	<W> of syria	40
rights	political rights for <W>	40
<M>	<M> of mountain	40
point	<W> 's point of view	40
<W>	<W> desired	40
<M>	mistaken <M>	40
teenagers	<W> teenagers	40
<M>	two <M> in seat	40
<M>	<M> marked	40
<M>	many weak <M>	40
<W>	huron <W>	40
movements	<W> 's rights movements	40
<M>	<M> had risked	40
cells	<M> sex cells	40
rhymes	<M> rhymes	40
<W>	innocent young <W>	40
<M>	<M> designated	40
sport	sport of <M>	40
<W>	<W> understand	40
<M>	<M> with osteoporosis	40
temperament	temperament of <M>	40
<M>	<M> and subjects	40
officers	<W> correctional officers	40
lions	<M> lions	40
<W>	married black <W>	40
<M>	<M> sworn	40
relations	natural relations with <W>	40
girls	black girls and <W>	40
exchange	<W> exchange	40
<M>	such <M> as franklin	40
milt	milt of <M>	40
<M>	association <M>	40
preference	preference to <M>	40
<M>	five different <M>	40
<M>	<M> could read	40
officers	17 officers and <M>	40
expectancy	<W> life expectancy	40
<M>	<M> in view	40
ascetics	<W> ascetics	40
attractiveness	<M> attractiveness	40
desire	<W> 's desire	40
<W>	treating <W>	40
<M>	his <M> on board	40
marriages	marriages between <W>	40
<M>	<M> training	40
<M>	<M> rising	40
mobs	mobs of <M>	40
attendant	her <W> attendant	40
sound	sound of <W>	40
<M>	both <M> and characters	40
<M>	all <M> from beginning	40
<M>	noted <M>	40
supervision	supervision of <M>	40
<W>	some <W> were	40
<M>	active young <M>	40
<M>	all <M> loved	40
<W>	all white <W>	40
<W>	all unmarried <W>	40
attitude	attitude toward <W>	40
body	remarkable body of <M>	40
lot	lot of our <M>	40
<M>	three <M> at table	40
<M>	<M> of all times	40
manner	same manner as <M>	40
shoulders	<M> shoulders	40
<M>	leading <M> of both parties	40
<M>	<M> of mettle	40
<W>	all <W> had known	40
<M>	two military <M>	40
<M>	all single <M>	40
types	certain types of <W>	40
<W>	<W> of boston	40
<M>	pinkerton <M>	40
<M>	<M> had played	40
<W>	some african american <W>	40
shortage	no shortage of <M>	39
<M>	<M> to write	39
devices	devices of <M>	39
<W>	<W> have become	39
<M>	some <M> knew	39
<W>	injured <W>	39
<W>	<W> taught	39
part	greater part of <W>	39
<M>	all <M> had been	39
elder	<W> elder	39
<M>	<M> supplied	39
suicide	<M> suicide	39
breeds	breeds of <M>	39
galaxy	galaxy of <M>	39
<M>	track <M>	39
attraction	<W> attraction	39
<W>	<W> in party	39
<M>	engine <M>	39
procession	long procession of <M>	39
<M>	<M> of left	39
<M>	<M> can see	39
<M>	leading <M> of state	39
<M>	<M> assumed	39
<M>	<M> enjoying	39
<M>	<M> had called	39
action	<M> action	39
<W>	<W> in childbed	39
<M>	treacherous <M>	39
tools	tools of <M>	39
<M>	two <M> inside	39
charges	charges against <M>	39
<M>	safe <M>	39
crown	crown of <M>	39
leader	<W> leader	39
<M>	young <M> in general	39
percent	75 percent of <M>	39
<W>	generation <W>	39
<W>	victoria <W>	39
<M>	truth <M>	39
activist	<W> 's rights activist	39
advances	advances of <M>	39
<M>	<M> in truck	39
<M>	<M> at length	39
achievements	<W> 's achievements	39
<M>	three honest <M>	39
<M>	all <M> to be received	39
<M>	other <M> had seen	39
<W>	dozen other <W>	39
vigour	<M> vigour	39
ghosts	<W> ghosts	39
custom	custom for <M>	39
midwives	midwives and <W>	39
bloggers	<W> bloggers	39
<M>	<M> in pit	39
cultures	<W> cultures	39
cultures	<M> cultures	39
<W>	pregnant <W> taking	39
<M>	butler 's <M>	39
<M>	<M> in culture	39
<M>	110,000 <M>	39
<M>	two <M> making	39
verse	wu - <M> 's verse	39
<M>	<M> from lands	39
<M>	few <M> in history	39
birds	birds and <M>	39
data	data on <W>	39
<M>	have seen <M>	39
standpoint	standpoint of <W>	39
position	position of <W> in society	39
set	any other set of <M>	39
corpses	corpses of <W>	39
image	<W> 's body image	39
<W>	<W> respect	39
door	door of <W> 's room	39
<M>	90 <M>	39
<M>	<M> hurt	39
graves	<W> graves	39
suffering	<W> suffering	39
<W>	educating <W>	39
socialization	socialization of <W>	39
income	income for <W>	39
minds	<M> 's minds and hearts	39
<M>	<M> from whose	39
<M>	old <M> sitting	39
moose	<W> moose	39
<M>	fourscore <M>	39
<M>	<M> elsewhere	39
<W>	<W> outside home	39
<M>	his <M> behind him	39
conduct	<W> conduct	39
systems	<M> reproductive systems	39
<M>	<M> in there	39
unions	<W> 's unions	39
example	an example of <M>	39
lives	lives of both <M>	39
rank	front rank of <M>	39
<W>	menstruous <W>	39
<M>	230 <M>	39
<M>	indolent <M>	39
right	sacred right of <M> to take	39
passion	passion for <W>	39
experience	experience of all <M>	39
<W>	pregnant <W> and infants	39
<W>	promiscuous <W>	39
deal	good deal of <M>	39
<W>	<W> in all groups	39
rendezvous	rendezvous of <M>	39
<M>	lumber <M>	39
<W>	<W> with training	39
<M>	<M> with caps	39
reaction	reaction of <M>	39
<M>	<M> of battery	39
<M>	my <M> on board	39
tears	<W> tears	39
creatures	<W> creatures	39
<M>	<M> like smith	39
<M>	<M> of counties	39
embryos	<M> embryos	39
<M>	old <M> presented	39
<W>	suffrage <W>	39
proportion	higher proportion of <M>	39
<W>	<W> and crisis	39
role	role for <W>	39
<M>	such holy <M>	39
cadets	<W> cadets	39
class	new class of <M>	39
group	select group of <M>	39
semen	semen of <M>	39
members	its <M> members	39
members	<W> staff members	39
<M>	<M> can afford	39
<M>	<M> in advance	39
opinion	opinion in <M>	39
houses	<W> 's houses	39
houses	other <M> 's houses	39
escorts	<M> escorts	39
<M>	young <M> here	39
worth	worth of <W>	39
<M>	his father 's <M>	39
<M>	two <M> had gone	39
elves	elves and <M>	39
morals	<M> 's morals	39
<M>	mutilated <M>	39
<M>	<M> or measures	39
abuse	abuse of <M>	39
<W>	<W> around me	39
viewers	<M> viewers	39
percent	nearly percent of <M>	39
voice	another <M> voice	39
scores	<W> scores	39
<M>	<M> affect	39
rats	ovariectomized <W> rats	39
<M>	<M> in want	39
groups	some groups of <W>	39
batch	batch of <M>	39
ancestors	<M> ancestors	39
proportion	considerable proportion of <M>	39
<M>	onr <M>	39
influences	<W> influences	39
war	war between <M>	39
<M>	<M> on right	39
<W>	<W> provided	39
share	his share of <W>	39
minority	small minority of <M>	39
abuse	sexual abuse of <W>	39
abuse	childhood sexual abuse in <W>	39
dispersal	<W> dispersal	39
<M>	many hundred <M>	39
costumes	costumes of <M>	39
<M>	two <M> of name	39
body	little body of <M>	39
<M>	few wise <M>	39
<W>	most pretty <W>	39
<M>	three <M> bound	39
<M>	<M> from east	39
rapes	rapes of <W>	39
<M>	some brave <M>	39
<W>	<W> as teachers	39
set	looking set of <M>	39
<M>	young <M> employed	39
wasp	<W> wasp	39
<W>	<W> of revolution	39
<M>	<M> of tact	39
level	level with <M>	39
rulers	<M> rulers	39
students	<W> graduate students	39
<M>	homeric <M>	39
<M>	all <M> and things	39
<M>	<M> of which	39
<M>	bourgeois <M>	39
<M>	<M> and horse	39
opposition	opposition to <M>	39
<M>	its fighting <M>	39
<W>	pagan <W>	39
<W>	<W> and family from revolution	39
principals	<W> principals	39
<M>	<M> from districts	39
side	my <W> side	39
<M>	<M> of originality	39
<W>	<W> of era	39
<M>	<M> in spirit	39
selection	his selection of <M>	39
<M>	<M> of iran	39
<W>	battered <W> kill	39
<M>	our gallant <M>	39
<M>	two <M> together	39
<W>	exquisitely <W>	39
relationship	<W> 's relationship	39
<W>	<W> of russia	39
<M>	charging <M>	39
<M>	two <M> watching	39
<W>	exemplary <W>	39
bonobos	<W> bonobos	39
<W>	austrian <W>	39
<M>	<M> to play	39
couples	<M> couples	39
tact	<W> tact	39
<M>	all <M> of tribe	39
home	home for <M>	39
<M>	<M> of observation	39
clerks	<M> clerks	39
performance	performance of <W>	39
performance	<M> performance	39
understanding	<W> understanding	39
employment	increased employment of <W>	39
<W>	two dressed <W>	39
<M>	<M> gained	39
<M>	<M> answered	39
<W>	apache <W>	39
<M>	no <M> or body of <M>	39
<M>	39 <M>	39
<W>	maasai <W>	39
<M>	<M> sunk	39
<M>	<M> surround	39
<W>	willing <W>	39
<M>	our other <M>	39
<M>	all <M> in country	39
sexuality	black <M> sexuality	39
<M>	two <M> brought	39
relation	<W> relation	39
encouragement	encouragement of <M>	39
hair	<W> hair	39
<M>	even greatest <M>	39
historians	historians of <W>	39
<W>	<W> in poverty	39
lust	lust of <M>	39
shrieks	<W> shrieks	39
<M>	<M> weary	39
<M>	besieged <M>	39
branch	<W> branch	39
<M>	<M> boasted	39
<M>	abandoned <M>	39
discrimination	discrimination of <W>	39
<W>	thinking <W>	39
forms	dark forms of <M>	39
<M>	some <M> at work	39
contrivances	contrivances of <M>	39
extent	extent of <M>	39
<M>	even bad <M>	39
<M>	<M> of my stamp	39
<M>	two <M> at wheel	39
<M>	all <M> having	39
<M>	<M> had returned	39
<M>	learned <M> of age	39
peers	their <W> peers	39
ejaculation	<M> ejaculation	39
<W>	young <W> in particular	39
<M>	<M> of my company	39
clothing	clothing for <M>	39
communion	communion of <M>	39
<M>	<M> wading	39
<M>	<M> to serve	39
<W>	<W> of colony	39
<W>	<W> of all sorts	39
persecution	persecution of <M>	39
maturity	<M> maturity	39
parade	parade of <W>	39
heads	all <M> 's heads	39
<M>	<M> travelled	39
<M>	wicked <M> and devils	39
<M>	south <M>	39
<M>	<M> cheering	39
associations	<W> associations	39
<W>	albanian <W>	39
<W>	<W> studying	39
<W>	india 's <W>	39
force	total force of <M>	39
<M>	<M> of yours	39
rights	equal rights of all <M>	39
<W>	two <W> had been	39
kind	kind to <M>	39
crop	crop of <M>	39
<M>	such <M> as do not belong	39
<M>	<M> like one	39
<W>	<W> are involved	39
teeth	teeth of <M>	39
bodies	all bodies of <M>	39
preparations	preparations of <M>	39
<M>	<M> had begun	39
<M>	<M> in works	39
mind	her <W> mind	39
<M>	<M> with skins	39
<M>	<M> with shovels	39
offenders	<W> sex offenders	39
<M>	two local <M>	39
writers	many <W> writers	39
<M>	law <M>	39
mass	dark mass of <M>	38
<M>	<M> picked up	38
<W>	one <W> and children	38
<M>	most military <M>	38
<M>	both <M> and dogs	38
<M>	nude <M>	38
reign	reign of <M>	38
<M>	all <M> have lived	38
force	an armed force of <M>	38
<M>	young <M> of state	38
<M>	<M> to talk	38
<W>	an adolescent <W>	38
aspect	<M> aspect	38
<M>	<M> packed	38
art	<W> 's art	38
attraction	<W> sex attraction	38
<M>	wealthiest <M> in town	38
descendants	their <M> descendants	38
<M>	two <M> on guard	38
<M>	<M> suited	38
upwards	upwards of <W>	38
<M>	<M> of command	38
counterparts	our <M> counterparts	38
writer	<M> writer	38
<M>	<M> of five	38
<M>	only <M> out	38
<W>	many <W> know	38
stream	stream of <W>	38
<M>	too many <M>	38
<M>	<M> in fact	38
<M>	only <M> with him	38
<M>	free black <M>	38
<M>	<M> earn	38
<M>	several strong <M>	38
norms	<M> norms	38
reverence	reverence for <W>	38
<W>	white <W> of south	38
<W>	filipina <W>	38
<M>	two <M> were standing	38
<W>	<W> with hearts	38
<M>	<M> dropping	38
<M>	several <M> and horses	38
<W>	<W> of research	38
<W>	expectant <W>	38
relations	sexual relations with <M>	38
<W>	young <W> worked	38
<W>	<W> begin	38
<W>	young <W> s	38
<W>	young <W> themselves	38
<M>	125,000 <M>	38
<M>	<M> and nurses	38
<M>	<M> exhibit	38
flesh	flesh of <W>	38
fitness	<M> fitness	38
lecturers	<W> lecturers	38
number	times number of <M>	38
<M>	<M> of succoth	38
<W>	<W> to stay	38
children	<W> 's children	38
status	lower status than <M>	38
conference	<W> 's conference	38
<M>	<M> in costume	38
ward	<W> ward	38
students	all <M> students	38
<W>	<W> accepted	38
<M>	two fine young <M>	38
acquaintances	her <M> acquaintances	38
<M>	<M> strive	38
<M>	but two <M>	38
<W>	<W> like <W>	38
<M>	two excellent <M>	38
<M>	two extraordinary <M>	38
<M>	many <M> of talent	38
<M>	you four <M>	38
<M>	young <M> like you	38
<M>	<M> dream	38
inequality	inequality between <W>	38
<M>	seeking <M>	38
crew	its crew of <M>	38
<M>	<M> of grade	38
<W>	shameless <W>	38
<M>	<M> rejected	38
reality	reality of <W> 's lives	38
<M>	<M> had been working	38
<M>	moat <M>	38
<M>	38 <M>	38
<M>	<M> have mentioned	38
elegance	<W> elegance	38
capabilities	<W> 's capabilities	38
<W>	washington <W>	38
<M>	<M> and not	38
<M>	other <M> in group	38
<M>	few learned <M>	38
<W>	<W> form	38
fickleness	fickleness of <W>	38
choice	choice of <W>	38
<W>	eastern european <W>	38
church	church of <M>	38
<W>	<W> in buddhism	38
<M>	<M> like my father	38
students	two <W> students	38
goats	<W> goats	38
<M>	<M> manning	38
<M>	<M> and gentlemen	38
relationships	relationships of <M>	38
<W>	many strange <W>	38
<M>	<M> refusing	38
millions	some millions of <M>	38
<W>	disreputable <W>	38
imprisonment	imprisonment of <W>	38
<M>	same young <M>	38
<M>	<M> with titles	38
<W>	many more <W>	38
friend	his <W> friend	38
estates	estates of <M>	38
<M>	healthy elderly <M>	38
listeners	<W> listeners	38
<M>	good <M> of old	38
<W>	<W> from states	38
advertisers	<M> advertisers	38
studies	<W> 's issues studies	38
sport	sport for <M>	38
virtue	<W> 's virtue	38
officers	12 officers and <M>	38
<M>	rome <M>	38
<M>	<M> doubt	38
<W>	quite few <W>	38
<W>	<W> in schools	38
status	their status as <W>	38
<W>	pregnant <W> with disease	38
sisters	sisters of <M>	38
<M>	<M> eligible	38
reflections	reflections of <M>	38
<M>	built <M>	38
<W>	present <W>	38
<M>	<M> had crossed	38
data	data for <W>	38
<M>	cutter 's <M>	38
thousands	several thousands of <M>	38
<M>	three <M> there	38
mettle	mettle of <M>	38
<W>	<W> to marry	38
percent	two percent of <W>	38
percent	up percent of <W>	38
complaints	<W> complaints	38
<M>	fascinating <M>	38
<M>	faithless <M>	38
quickness	<W> quickness	38
<W>	militant <W>	38
<W>	postmenopausal <W> with disease	38
<W>	preeclamptic <W>	38
lives	daily lives of <M>	38
<M>	<M> with disabilities	38
hunger	hunger of <M>	38
<M>	respecting <M>	38
work	<W> 's paid work	38
<M>	<M> or cattle	38
<M>	de soto 's <M>	38
<W>	<W> with skin	38
doom	doom of <M>	38
<W>	pregnant <W> infected	38
<M>	<M> proved	38
<W>	<W> in programs	38
<W>	typical <W>	38
<M>	grave <M> with hairs	38
<M>	young <M> of generation	38
<W>	<W> and crime	38
<M>	our <M> of genius	38
opportunities	<W> 's employment opportunities	38
<M>	<M> had succeeded	38
deaths	<M> deaths	38
<M>	desirable young <M>	38
<M>	existing <M>	38
<M>	<M> or guns	38
class	best class of <M>	38
proportion	significant proportion of <W>	38
rights	<W> ' rights	38
pick	pick of his <M>	38
<M>	swedish <M>	38
lot	lot about <W>	38
vampire	<W> vampire	38
nation	every nation of <M>	38
<M>	two <M> found	38
reformers	<M> reformers	38
<M>	invisible <M>	38
<M>	<M> in stations	38
angels	both angels and <M>	38
risk	risk of cancer in <M>	38
animals	animals as well as <M>	38
horses	his horses and his <M>	38
androgens	androgens in <W>	38
<W>	<W> and their ways	38
sterility	<W> sterility	38
foolishness	foolishness of <M>	38
<M>	four black <M>	38
training	resistance training in <M>	38
<M>	<M> set out	38
employees	its <W> employees	38
<M>	<M> counted	38
<W>	<W> enjoy	38
<M>	mormon <M>	38
<M>	<M> had forgotten	38
<M>	an older <M>	38
anything	anything <M>	38
<W>	paid <W>	38
delegation	delegation of <W>	38
<M>	<M> 'd come	38
perfection	<M> perfection	38
home	home of <W>	38
<M>	<M> animated	38
history	history of <W> 's movement	38
<M>	34 <M>	38
cent	ninety per cent of <M>	38
<W>	<W> with abnormalities	38
mystery	mystery of <M>	38
converse	converse with <M>	38
classes	other classes of <M>	38
demeanour	demeanour of <M>	38
diseases	<W> 's diseases	38
back	back of <M>	38
<M>	<M> were playing	38
<M>	listening <M>	38
disorder	<W> orgasmic disorder	38
apartment	apartment of <W>	38
<M>	young <M> of our country	38
<W>	<W> in organizations	38
<W>	<W> contributed	38
<W>	<W> could be	38
<M>	both good <M>	38
<W>	hong kong <W>	38
<W>	kaffir <W>	38
approval	<M> approval	38
architects	<W> architects	38
<W>	assembled <W>	38
<M>	john 's <M>	38
<M>	<M> pretending	38
guns	four guns and <M>	38
<M>	dozen <M> and boys	38
<W>	abused <W> and children	38
<W>	beautiful <W> of her time	38
philopatry	<M> philopatry	38
<W>	<W> spend	38
<W>	<W> of you	38
<M>	110 <M>	38
consumption	<M> consumption	38
<M>	some <M> seem	38
<M>	great <M> of land	38
<M>	most respectable <M>	38
army	british army of <M>	38
<M>	walker 's <M>	38
<M>	<M> apart	38
<M>	<M> of nerves	38
<W>	<W> and industry	38
<W>	<W> and state	38
<M>	<M> had sat	38
satisfaction	<M> satisfaction	38
<M>	all <M> concerned	38
<M>	great <M> of science	38
help	<M> help	38
problem	problem with <M>	38
<M>	<M> was dealing	38
<M>	<M> to say	38
<W>	native <W> and children	38
deputies	<W> deputies	38
army	new army of <M>	38
<M>	<M> of my family	38
<M>	wayward <M>	38
<M>	<M> pray	38
<M>	thatcher <M>	38
herd	herd of <W>	38
responses	<M> 's responses	38
<M>	<M> bending	38
<W>	tired <W>	38
<M>	not unbecoming <M> strove	38
<M>	pious young <M>	38
asylum	an asylum for <W>	38
<M>	<M> disabled	38
<M>	thirty armed <M>	38
<M>	<M> undergo	38
<M>	plenty <M>	38
<M>	plainclothes <M>	38
<M>	passing <M>	38
<M>	poor old <M>	38
<M>	painted <M>	38
<M>	what fools <M>	38
<W>	all your <W>	38
<W>	year <W>	38
<M>	caribbean <M>	38
counterpart	its <M> counterpart	38
victimization	<W> victimization	38
<W>	<W> of temperament	38
<M>	first class <M>	38
<W>	<W> fell	38
<M>	<M> in darkness	38
elders	elders and <M>	38
<M>	fittest <M>	38
confidence	confidence of all <M>	38
<W>	<W> plan	38
colonel	colonel and his <M>	38
detachment	small detachment of <M>	38
detectives	<W> detectives	38
profession	<M> profession	38
%	10 % of <M>	37
scrutiny	scrutiny of <M>	37
<M>	<M> in box	37
heads	heads and shoulders of <M>	37
<M>	philosophical <M>	37
<M>	grey <M>	37
colleagues	her <W> colleagues	37
<M>	<M> disguised	37
<M>	<M> had put	37
profession	profession for <W>	37
port	port for <M>	37
<W>	<W> in them	37
<W>	two <W> had	37
sex	whole <M> sex	37
<W>	2,000 <W>	37
<W>	three such <W>	37
<M>	both <M> and angels	37
<W>	<W> wept	37
<M>	650 <M>	37
contingent	large contingent of <M>	37
<W>	hottentot <W>	37
<M>	<M> of destiny	37
superiority	superiority of <W>	37
<W>	illustrious <W>	37
rights	equal rights to <W>	37
<W>	<W> on island	37
<M>	marked <M>	37
cattle	cattle and <W>	37
<M>	white <M> and red	37
<M>	widowed <M>	37
<M>	most grown <M>	37
<M>	young <M> playing	37
happiness	happiness of his <M>	37
harem	harem of <W>	37
<M>	poore <M>	37
hearts	hearts and souls of <M>	37
<M>	pope 's <M>	37
coaches	<M> coaches	37
<W>	nineteen <W>	37
convention	first <W> 's rights convention	37
<M>	many single <M>	37
<M>	<M> asleep	37
<M>	<M> on average	37
way	<M> 's way	37
<W>	two <W> lived	37
<M>	all <M> can get	37
multitude	vast multitude of <M>	37
<W>	<W> consuming	37
<W>	<W> consume	37
disappearance	disappearance of <M>	37
<M>	<M> from bondage	37
<M>	<M> of morality	37
<W>	organized <W>	37
<M>	most part <M>	37
<M>	<M> of all faiths	37
<M>	all moderate <M>	37
<M>	<M> powerful	37
<M>	<M> at camp	37
<W>	two beautiful young <W>	37
<W>	150 <W>	37
<W>	khmer <W>	37
<M>	many remarkable <M>	37
deposits	<W> deposits	37
<M>	<M> to save	37
word	word to <M>	37
<W>	<W> of all nations	37
<M>	<M> of antiquity	37
works	other <M> 's works	37
<M>	55,000 <M>	37
judgment	<M> 's judgment	37
<W>	help <W>	37
<M>	many other brave <M>	37
<M>	<M> of discretion	37
franchise	franchise to <W>	37
<M>	<M> separated	37
promiscuity	<M> promiscuity	37
sorts	different sorts of <M>	37
discoveries	discoveries of <M>	37
<W>	other indian <W>	37
<M>	primeval <M>	37
<M>	<M> went up	37
<M>	waking <M>	37
jobs	<W> jobs	37
<M>	twelve armed <M>	37
<W>	kneeling <W>	37
