CATEGORY,CLEANED,GENDER
Women's_football_in_Norway,women 's football in norway,W
20th-century_German_women_politicians,20th century german women politicians,W
East_German_women_by_occupation,east german women by occupation,W
German_women_in_politics,german women in politics,W
20th-century_German_women,20th century german women,W
Women_in_East_Germany,women in east germany,W
20th-century_women_politicians_by_nationality,20th century women politicians by nationality,W
Women_in_Bahrain,women in bahrain,W
Women_in_Kazakhstan,women in kazakhstan,W
Women_in_Uzbekistan,women in uzbekistan,W
Women_in_the_Comoros,women in the comoros,W
Women's_national_sports_teams_by_country,women 's national sports teams by country,W
Women's_sports_teams_by_country,women 's sports teams by country,W
Men's_magazines_published_in_the_United_States,men 's magazines published in the united states,M
North_American_women's_football_(soccer)_biography_stubs,north american women 's football ( soccer ) biography stubs,W
Women's_rights_in_the_Middle_East,women 's rights in the middle east,W
2010–11_in_Canadian_women's_ice_hockey_by_league,2010 11 in canadian women 's ice hockey by league,W
European_women_in_business,european women in business,W
Little_Rock_Trojans_men's_basketball,little rock trojans men 's basketball,M
Louisiana_Ragin'_Cajuns_men's_basketball,louisiana ragin ' cajuns men 's basketball,M
Louisiana–Monroe_Warhawks_men's_basketball,louisiana monroe warhawks men 's basketball,M
Murray_State_Racers_men's_basketball,murray state racers men 's basketball,M
Women's_basketball_in_Slovakia,women 's basketball in slovakia,W
Women's_sports_teams_in_Slovakia,women 's sports teams in slovakia,W
Women's_basketball_in_South_Korea,women 's basketball in south korea,W
Women's_sports_teams_in_South_Korea,women 's sports teams in south korea,W
Texas–Rio_Grande_Valley_Vaqueros_men's_basketball_players,texas rio grande valley vaqueros men 's basketball players,M
Texas–Rio_Grande_Valley_Vaqueros_men's_basketball,texas rio grande valley vaqueros men 's basketball,M
UT_Arlington_Mavericks_men's_basketball,ut arlington mavericks men 's basketball,M
Texas_A&M–Corpus_Christi_Islanders_men's_basketball,texas a m corpus christi islanders men 's basketball,M
SIU_Edwardsville_Cougars_men's_basketball,siu edwardsville cougars men 's basketball,M
Big_South_Conference_men's_basketball_seasons,big south conference men 's basketball seasons,M
Women's_ice_hockey_in_Russia,women 's ice hockey in russia,W
German_female_tennis_players,german female tennis players,W
Women's_sport_in_Mozambique,women 's sport in mozambique,W
Male_prostitution,male prostitution,M
Belgian_female_figure_skaters,belgian female figure skaters,W
CONMEBOL_competitions_for_women's_national_teams,conmebol competitions for women 's national teams,W
Albany_Great_Danes_men's_soccer,albany great danes men 's soccer,M
Canadian_women_curlers,canadian women curlers,W
Men's_Health_(magazine),men 's health ( magazine ) ,M
UIC_Flames_men's_soccer,uic flames men 's soccer,M
Men_in_Ireland,men in ireland,M
Women's_sports_teams_in_Poland,women 's sports teams in poland,W
WikiProject_Women's_History,wikiproject women 's history,W
Women's_History_articles_by_importance,women 's history articles by importance,W
WikiProject_Women's_History_articles,wikiproject women 's history articles,W
Women's_History_articles_by_quality,women 's history articles by quality,W
English_male_writers,english male writers,M
Women_in_World_War_I_by_nationality,women in world war i by nationality,W
20th-century_British_women,20th century british women,W
Women_in_World_War_I,women in world war i,W
Cultural_depictions_of_men,cultural depictions of men,M
20th-century_French_women,20th century french women,W
Women_in_war_in_France,women in war in france,W
Men's_events_at_the_2002_Winter_Olympics,men 's events at the 2002 winter olympics,M
Women's_ice_hockey_in_Sweden,women 's ice hockey in sweden,W
Women's_ice_hockey_competitions_in_Canada,women 's ice hockey competitions in canada,W
Women's_ice_hockey_leagues,women 's ice hockey leagues,W
Women's_sports_leagues_in_Canada,women 's sports leagues in canada,W
Women_in_Washington_(state),women in washington ( state ) ,W
Women_in_Washington_(state)_politics,women in washington ( state ) politics,W
Azerbaijani_men_by_occupation,azerbaijani men by occupation,M
Women's_organizations_based_in_Asia_by_country,women 's organizations based in asia by country,W
Women_of_medieval_Scotland,women of medieval scotland,W
Women's_athletics,women 's athletics,W
Women's_organizations_based_in_Oceania_by_country,women 's organizations based in oceania by country,W
Howard_Bison_men's_basketball,howard bison men 's basketball,M
TCU_Horned_Frogs_women's_basketball,tcu horned frogs women 's basketball,W
UNC_Asheville_Bulldogs_men's_basketball,unc asheville bulldogs men 's basketball,M
Yemeni_women_by_occupation,yemeni women by occupation,W
La_Salle_Explorers_men's_soccer,la salle explorers men 's soccer,M
Women's_sport_in_Kenya,women 's sport in kenya,W
Women's_sport_in_Ethiopia,women 's sport in ethiopia,W
Men_from_Georgia_(country)_by_occupation,men from georgia ( country ) by occupation,M
U_Sports_women's_ice_hockey_teams,u sports women 's ice hockey teams,W
Women's_ice_hockey_teams_in_Canada,women 's ice hockey teams in canada,W
Women's_footballers_in_Scotland_by_club,women 's footballers in scotland by club,W
Women_in_Syria,women in syria,W
Syrian_women_by_occupation,syrian women by occupation,W
Women_in_Georgia_(country),women in georgia ( country ) ,W
Works_originally_published_in_women's_magazines,works originally published in women 's magazines,W
Works_originally_published_in_men's_magazines,works originally published in men 's magazines,M
Big_Sky_Conference_women's_basketball,big sky conference women 's basketball,W
Butler_Bulldogs_women's_basketball,butler bulldogs women 's basketball,W
German_female_skiers,german female skiers,W
Women_in_Qatar,women in qatar,W
20th-century_Canadian_women_writers,20th century canadian women writers,W
21st-century_Canadian_women_writers,21st century canadian women writers,W
Maldivian_women,maldivian women,W
Women's_international_futsal_competitions,women 's international futsal competitions,W
Memphis_Tigers_men's_soccer,memphis tigers men 's soccer,M
Male_suicide_bombers,male suicide bombers,M
Sierra_Leonean_women_in_politics,sierra leonean women in politics,W
Women_in_Sierra_Leone,women in sierra leone,W
Ukrainian_women_in_politics,ukrainian women in politics,W
Winthrop_Eagles_men's_soccer,winthrop eagles men 's soccer,M
Malagasy_women_in_politics,malagasy women in politics,W
Wesleyan_Cardinals_men's_basketball,wesleyan cardinals men 's basketball,M
California_Vulcans_men's_basketball,california vulcans men 's basketball,M
Alfred_Saxons_men's_basketball,alfred saxons men 's basketball,M
Northern_Kentucky_Norse_men's_basketball,northern kentucky norse men 's basketball,M
St._Lawrence_Saints_men's_basketball,st lawrence saints men 's basketball,M
McKendree_Bearcats_men's_basketball,mckendree bearcats men 's basketball,M
2010–11_in_American_women's_college_basketball,2010 11 in american women 's college basketball,W
Women_from_Georgia_(country)_by_occupation,women from georgia ( country ) by occupation,W
UTEP_Miners_women's_basketball,utep miners women 's basketball,W
Ohio_Valley_Conference_men's_basketball_seasons,ohio valley conference men 's basketball seasons,M
Arkansas–Pine_Bluff_Golden_Lions_men's_basketball,arkansas pine bluff golden lions men 's basketball,M
Women's_rights_in_Ukraine,women 's rights in ukraine,W
Women's_sports_organizations_in_Canada,women 's sports organizations in canada,W
Croatian_female_skiers,croatian female skiers,W
Women's_sports_organisations_in_the_United_Kingdom,women 's sports organisations in the united kingdom,W
Women's_national_sports_teams_of_the_United_Kingdom,women 's national sports teams of the united kingdom,W
Women's_sports_teams_in_Scotland,women 's sports teams in scotland,W
Sun_Belt_Conference_men's_basketball_seasons,sun belt conference men 's basketball seasons,M
Female_freestyle_skiers,female freestyle skiers,W
Northeast_Conference_men's_basketball_seasons,northeast conference men 's basketball seasons,M
Big_Sky_Conference_men's_basketball_seasons,big sky conference men 's basketball seasons,M
Canadian_women_non-fiction_writers,canadian women non fiction writers,W
Canadian_women_writers,canadian women writers,W
Women's_sports_organisations_in_Australia,women 's sports organisations in australia,W
Women's_national_cricket_teams,women 's national cricket teams,W
Women's_national_sports_teams_of_Australia,women 's national sports teams of australia,W
Men's_national_sports_teams_by_country,men 's national sports teams by country,M
Men's_sports_teams_in_Australia,men 's sports teams in australia,M
Men's_sports_teams_by_country,men 's sports teams by country,M
Men's_national_sports_teams,men 's national sports teams,M
Women's_association_football_in_Ireland,women 's association football in ireland,W
Women's_sport_in_the_Republic_of_Ireland,women 's sport in the republic of ireland,W
European_women's_national_association_football_teams,european women 's national association football teams,W
Women's_association_football_in_the_Republic_of_Ireland,women 's association football in the republic of ireland,W
Women's_national_sports_teams_of_Ireland,women 's national sports teams of ireland,W
Rowan_Profs_men's_basketball,rowan profs men 's basketball,M
Clemson_Tigers_women's_soccer,clemson tigers women 's soccer,W
Michigan_Wolverines_women's_soccer,michigan wolverines women 's soccer,W
UConn_Huskies_women's_soccer,uconn huskies women 's soccer,W
Saint_Louis_Billikens_women's_soccer,saint louis billikens women 's soccer,W
Hofstra_Pride_women's_soccer,hofstra pride women 's soccer,W
South_Carolina_Gamecocks_women's_soccer,south carolina gamecocks women 's soccer,W
Florida_State_Seminoles_women's_soccer,florida state seminoles women 's soccer,W
Boston_College_Eagles_women's_soccer,boston college eagles women 's soccer,W
Texas_Longhorns_women's_soccer,texas longhorns women 's soccer,W
Arizona_State_Sun_Devils_women's_soccer,arizona state sun devils women 's soccer,W
Duke_Blue_Devils_women's_soccer,duke blue devils women 's soccer,W
Imprisonment_and_detention_of_women,imprisonment and detention of women,W
2011_in_women's_curling,2011 in women 's curling,W
Women's_rights_in_the_Democratic_Republic_of_the_Congo,women 's rights in the democratic republic of the congo,W
Violence_against_women_in_the_Philippines,violence against women in the philippines,W
Violence_against_women_in_Japan,violence against women in japan,W
Violence_against_women_in_Pakistan,violence against women in pakistan,W
Cal_State_Bakersfield_Roadrunners_men's_basketball,cal state bakersfield roadrunners men 's basketball,M
UC_Riverside_Highlanders_men's_basketball,uc riverside highlanders men 's basketball,M
Transgender_hormone_therapy_(female-to-male),transgender hormone therapy ( female to male ) ,A
Women's_football_in_Belarus,women 's football in belarus,W
Women's_sports_competitions_in_Belarus,women 's sports competitions in belarus,W
Women's_sport_in_Belarus,women 's sport in belarus,W
UT_Martin_Skyhawks_men's_basketball,ut martin skyhawks men 's basketball,M
Women's_association_football_in_Northern_Ireland,women 's association football in northern ireland,W
Women's_sports_competitions_in_Northern_Ireland,women 's sports competitions in northern ireland,W
Women's_football_in_Slovenia,women 's football in slovenia,W
Women's_sports_competitions_in_Slovenia,women 's sports competitions in slovenia,W
Women's_football_in_Serbia,women 's football in serbia,W
Women's_sports_competitions_in_Serbia,women 's sports competitions in serbia,W
Women's_football_in_Malta,women 's football in malta,W
Women's_sports_competitions_in_Malta,women 's sports competitions in malta,W
Women's_football_in_Moldova,women 's football in moldova,W
Women's_sports_competitions_in_Moldova,women 's sports competitions in moldova,W
Women's_sport_in_Northern_Ireland,women 's sport in northern ireland,W
Women's_sport_in_Moldova,women 's sport in moldova,W
Women's_sport_in_Malta,women 's sport in malta,W
Women's_football_in_Portugal,women 's football in portugal,W
Women's_sports_competitions_in_Portugal,women 's sports competitions in portugal,W
Women's_football_in_Cyprus,women 's football in cyprus,W
Women's_sports_competitions_in_Cyprus,women 's sports competitions in cyprus,W
Women's_football_in_Bosnia_and_Herzegovina,women 's football in bosnia and herzegovina,W
Women's_sports_competitions_in_Bosnia_and_Herzegovina,women 's sports competitions in bosnia and herzegovina,W
Women's_football_in_Latvia,women 's football in latvia,W
Women's_sports_competitions_in_Latvia,women 's sports competitions in latvia,W
Women's_football_in_Czechoslovakia,women 's football in czechoslovakia,W
Women's_sports_competitions_in_Czechoslovakia,women 's sports competitions in czechoslovakia,W
Women's_football_in_Slovakia,women 's football in slovakia,W
Women's_sports_competitions_in_Slovakia,women 's sports competitions in slovakia,W
Women's_football_in_the_Czech_Republic,women 's football in the czech republic,W
Women's_sports_competitions_in_the_Czech_Republic,women 's sports competitions in the czech republic,W
Women's_sport_in_Czechoslovakia,women 's sport in czechoslovakia,W
Women's_sport_in_Portugal,women 's sport in portugal,W
Women's_sport_in_Cyprus,women 's sport in cyprus,W
Women's_sport_in_Bosnia_and_Herzegovina,women 's sport in bosnia and herzegovina,W
Women's_sport_in_Latvia,women 's sport in latvia,W
Women's_sport_in_Slovakia,women 's sport in slovakia,W
Women's_sport_in_the_Czech_Republic,women 's sport in the czech republic,W
Marshall_Thundering_Herd_women's_basketball,marshall thundering herd women 's basketball,W
Penn_State_Nittany_Lions_men's_lacrosse,penn state nittany lions men 's lacrosse,M
Hofstra_Pride_men's_lacrosse,hofstra pride men 's lacrosse,M
Ohio_State_Buckeyes_men's_lacrosse,ohio state buckeyes men 's lacrosse,M
Australian_women_non-fiction_writers,australian women non fiction writers,W
Women's_basketball_players_in_Serbia_by_club,women 's basketball players in serbia by club,W
Women's_rights_in_South_America,women 's rights in south america,W
Women's_rights_in_Colombia,women 's rights in colombia,W
Chilean_women's_rights_activists,chilean women 's rights activists,W
Women's_rights_in_Chile,women 's rights in chile,W
Fijian_women_by_occupation,fijian women by occupation,W
Peruvian_men_by_occupation,peruvian men by occupation,M
Male_pornographic_film_actors,male pornographic film actors,M
Transgender_and_transsexual_male_actors,transgender and transsexual male actors,M
Women's_sport_in_Belgium,women 's sport in belgium,W
Somalian_women_in_politics,somalian women in politics,W
Men's_events_at_the_1994_Winter_Olympics,men 's events at the 1994 winter olympics,M
American_college_men's_lacrosse_coach_navigational_boxes,american college men 's lacrosse coach navigational boxes,M
American_college_men's_lacrosse_navigational_boxes,american college men 's lacrosse navigational boxes,M
Republic_of_Venice_women,republic of venice women,W
Catholic_University_Cardinals_men's_basketball,catholic university cardinals men 's basketball,M
UCI_Road_World_Cup_(men),uci road world cup ( men ) ,M
UT_Martin_Skyhawks_women's_basketball,ut martin skyhawks women 's basketball,W
FA_Women's_Super_League,fa women 's super league,W
Miami_RedHawks_women's_basketball,miami redhawks women 's basketball,W
Women's_sport_in_Poland,women 's sport in poland,W
Women's_sport_in_Finland,women 's sport in finland,W
Women's_sport_in_Kazakhstan,women 's sport in kazakhstan,W
Women's_association_football_clubs_by_country,women 's association football clubs by country,W
Women's_football_in_Georgia_(country),women 's football in georgia ( country ) ,W
Women's_sports_teams_in_Georgia_(country),women 's sports teams in georgia ( country ) ,W
Women's_sport_in_Georgia_(country),women 's sport in georgia ( country ) ,W
Women's_sport_in_Lithuania,women 's sport in lithuania,W
Women's_sport_in_the_Faroe_Islands,women 's sport in the faroe islands,W
Women's_sport_in_Switzerland,women 's sport in switzerland,W
Women's_sport_in_Austria,women 's sport in austria,W
Women's_sport_in_Lebanon,women 's sport in lebanon,W
Women's_sport_in_Bolivia,women 's sport in bolivia,W
Women's_sport_in_Denmark,women 's sport in denmark,W
Women's_sport_in_France,women 's sport in france,W
Women's_sport_in_Peru,women 's sport in peru,W
Women's_sport_in_Norway,women 's sport in norway,W
Women's_sport_in_Sweden,women 's sport in sweden,W
UNC_Wilmington_Seahawks_women's_basketball,unc wilmington seahawks women 's basketball,W
Women's_National_Basketball_Association_executives,women 's national basketball association executives,W
Women_in_American_professional_sports_management,women in american professional sports management,W
Navy_Midshipmen_men's_lacrosse,navy midshipmen men 's lacrosse,M
Women's_association_football_records_and_statistics,women 's association football records and statistics,W
UNC_Wilmington_Seahawks_men's_soccer,unc wilmington seahawks men 's soccer,M
Northern_Michigan_Wildcats_men's_basketball,northern michigan wildcats men 's basketball,M
Abilene_Christian_Wildcats_men's_basketball,abilene christian wildcats men 's basketball,M
North_Alabama_Lions_men's_basketball,north alabama lions men 's basketball,M
Augsburg_Auggies_men's_basketball,augsburg auggies men 's basketball,M
Amherst_Mammoths_men's_basketball,amherst mammoths men 's basketball,M
Films_about_women_in_India,films about women in india,W
Southeastern_Oklahoma_State_Savage_Storm_men's_basketball,southeastern oklahoma state savage storm men 's basketball,M
Pakistani_male_singers,pakistani male singers,M
Women's_association_football-related_lists,women 's association football related lists,W
Women_in_Armenia,women in armenia,W
Santa_Clara_Broncos_men's_golf,santa clara broncos men 's golf,M
Women's_volleyball_in_Turkey,women 's volleyball in turkey,W
Women_Members_of_the_European_Parliament,women members of the european parliament,W
Women_legislators_in_France,women legislators in france,W
Omani_women_by_occupation,omani women by occupation,W
Christopher_Newport_Captains_men's_basketball,christopher newport captains men 's basketball,M
Beloit_Buccaneers_men's_basketball,beloit buccaneers men 's basketball,M
East_Central_Tigers_men's_basketball,east central tigers men 's basketball,M
Women's_football_in_Sweden,women 's football in sweden,W
Women's_national_sports_teams_of_Sweden,women 's national sports teams of sweden,W
Yale_Bulldogs_women's_ice_hockey,yale bulldogs women 's ice hockey,W
Austrian_women_in_politics,austrian women in politics,W
Belgian_women_in_politics,belgian women in politics,W
Dutch_women_in_politics,dutch women in politics,W
21st-century_Polish_women_politicians,21st century polish women politicians,W
21st-century_women_Members_of_the_European_Parliament,21st century women members of the european parliament,W
Women_legislators_in_Spain,women legislators in spain,W
Women_legislators_in_Sweden,women legislators in sweden,W
Women_legislators_in_Italy,women legislators in italy,W
Women_legislators_in_Finland,women legislators in finland,W
Women_legislators_in_Denmark,women legislators in denmark,W
Women_legislators_in_Greece,women legislators in greece,W
Women_legislators_in_Portugal,women legislators in portugal,W
21st-century_Romanian_women_politicians,21st century romanian women politicians,W
Romanian_women_in_politics,romanian women in politics,W
21st-century_Hungarian_women_politicians,21st century hungarian women politicians,W
Women_legislators_in_Hungary,women legislators in hungary,W
Luxembourgian_women_in_politics,luxembourgian women in politics,W
21st-century_Bulgarian_women_politicians,21st century bulgarian women politicians,W
Bulgarian_women_in_politics,bulgarian women in politics,W
21st-century_Lithuanian_women_politicians,21st century lithuanian women politicians,W
Women_legislators_in_Lithuania,women legislators in lithuania,W
21st-century_Estonian_women_politicians,21st century estonian women politicians,W
Women_legislators_in_Estonia,women legislators in estonia,W
21st-century_Slovak_women_politicians,21st century slovak women politicians,W
21st-century_Czech_women_politicians,21st century czech women politicians,W
Czech_women_in_politics,czech women in politics,W
21st-century_Slovenian_women_politicians,21st century slovenian women politicians,W
Slovenian_women_in_politics,slovenian women in politics,W
21st-century_Latvian_women_politicians,21st century latvian women politicians,W
Latvian_women_in_politics,latvian women in politics,W
21st-century_Cypriot_women_politicians,21st century cypriot women politicians,W
St._Lawrence_Saints_men's_ice_hockey,st lawrence saints men 's ice hockey,M
St._Lawrence_Saints_women's_ice_hockey,st lawrence saints women 's ice hockey,W
Women's_football_in_Mexico,women 's football in mexico,W
Women's_national_sports_teams_of_Mexico,women 's national sports teams of mexico,W
Azerbaijani_female_singers,azerbaijani female singers,W
Philadelphia_Rams_men's_basketball,philadelphia rams men 's basketball,M
Truman_Bulldogs_men's_basketball,truman bulldogs men 's basketball,M
Women's_rights_in_Vietnam,women 's rights in vietnam,W
Southern_New_Hampshire_Penmen_men's_basketball,southern new hampshire penmen men 's basketball,M
Black_Canadian_women,black canadian women,W
Women's_soccer_clubs_in_New_York_(state),women 's soccer clubs in new york ( state ) ,W
Washington_and_Lee_Generals_men's_basketball,washington and lee generals men 's basketball,M
Women's_sports_organizations_by_country,women 's sports organizations by country,W
Chapman_Panthers_men's_basketball,chapman panthers men 's basketball,M
College_men's_soccer_by_conference_in_the_United_States,college men 's soccer by conference in the united states,M
Women's_sport_in_Chile,women 's sport in chile,W
UEFA_Women's_Champions_League,uefa women 's champions league,W
2011–12_NCAA_Division_I_men's_basketball_season,2011 12 ncaa division i men 's basketball season,M
Women's_national_sports_teams_of_Scotland,women 's national sports teams of scotland,W
Women's_sports_teams_in_Ireland,women 's sports teams in ireland,W
Women's_sports_teams_in_Northern_Ireland,women 's sports teams in northern ireland,W
American_International_Yellow_Jackets_men's_basketball,american international yellow jackets men 's basketball,M
Johns_Hopkins_Blue_Jays_men's_basketball,johns hopkins blue jays men 's basketball,M
Carthage_Red_Men_football,carthage red men football,M
Carthage_Red_Men_and_Lady_Reds,carthage red men and lady reds,M
Northwestern_Wildcats_women's_lacrosse,northwestern wildcats women 's lacrosse,W
Bangladeshi_female_musicians,bangladeshi female musicians,W
Bangladeshi_women,bangladeshi women,W
College_women's_gymnastics_in_the_United_States,college women 's gymnastics in the united states,W
Men's_athletics_competitions,men 's athletics competitions,M
Women's_rights_in_Denmark,women 's rights in denmark,W
Women's_rights_in_Hungary,women 's rights in hungary,W
Women's_rights_in_Iceland,women 's rights in iceland,W
Men's_hammer_throw,men 's hammer throw,M
Japanese_male_wrestlers,japanese male wrestlers,M
British_female_wrestlers,british female wrestlers,W
Libyan_women_by_occupation,libyan women by occupation,W
Djiboutian_women_by_occupation,djiboutian women by occupation,W
Beninese_women_by_occupation,beninese women by occupation,W
Women's_volleyball_competitions_in_Switzerland,women 's volleyball competitions in switzerland,W
Wisconsin–Stevens_Point_Pointers_men's_basketball,wisconsin stevens point pointers men 's basketball,M
Texas_A&M–Commerce_Lions_men's_basketball,texas a m commerce lions men 's basketball,M
Guamanian_women,guamanian women,W
East_Tennessee_State_Buccaneers_men's_basketball,east tennessee state buccaneers men 's basketball,M
Turkish_women's_footballers,turkish women 's footballers,W
Women's_football_in_Turkey,women 's football in turkey,W
Women's_national_sports_teams_of_Turkey,women 's national sports teams of turkey,W
Celtic_F.C._Women,celtic f c women,W
Female_horses,female horses,W
Patriot_League_men's_soccer,patriot league men 's soccer,M
Western_Illinois_Leathernecks_men's_basketball,western illinois leathernecks men 's basketball,M
Central_Intercollegiate_Athletic_Association_men's_basketball,central intercollegiate athletic association men 's basketball,M
America_East_Conference_women's_basketball,america east conference women 's basketball,W
Northeast-10_Conference_men's_basketball,northeast 10 conference men 's basketball,M
Women's_rights_in_Poland,women 's rights in poland,W
Frisian_women,frisian women,W
Central_Atlantic_Collegiate_Conference_men's_basketball,central atlantic collegiate conference men 's basketball,M
Midwest_Conference_men's_basketball,midwest conference men 's basketball,M
Pennsylvania_State_Athletic_Conference_men's_basketball,pennsylvania state athletic conference men 's basketball,M
Women_poets_by_era,women poets by era,W
Women's_rights_in_Syria,women 's rights in syria,W
Women's_rights_in_Yemen,women 's rights in yemen,W
Male_characters_in_film,male characters in film,M
Alabama_Crimson_Tide_women's_gymnastics,alabama crimson tide women 's gymnastics,W
Minot_State_Beavers_men's_basketball,minot state beavers men 's basketball,M
Women's_football_competitions_in_France,women 's football competitions in france,W
Male_professional_wrestlers,male professional wrestlers,M
Male_wrestlers_by_nationality,male wrestlers by nationality,M
Women's_basketball_in_Lithuania,women 's basketball in lithuania,W
Seasons_in_French_women's_football,seasons in french women 's football,W
Women's_sports_leagues_in_France,women 's sports leagues in france,W
Women's_football_in_France,women 's football in france,W
Women's_sports_competitions_in_France,women 's sports competitions in france,W
Women's_football_clubs_in_France,women 's football clubs in france,W
2011_in_Irish_women's_sport,2011 in irish women 's sport,W
2011_in_women's_sport,2011 in women 's sport,W
2010_in_Irish_women's_sport,2010 in irish women 's sport,W
2010_in_women's_sport,2010 in women 's sport,W
Women's_sports_leagues_in_Ireland,women 's sports leagues in ireland,W
2012_in_Serbian_women's_sport,2012 in serbian women 's sport,W
2012_in_women's_handball,2012 in women 's handball,W
Pac-12_Conference_Men's_Basketball_Tournament,pac 12 conference men 's basketball tournament,M
Women's_association_football_referees,women 's association football referees,W
Men's_events_at_the_1936_Winter_Olympics,men 's events at the 1936 winter olympics,M
Men's_events_at_the_1948_Winter_Olympics,men 's events at the 1948 winter olympics,M
Men's_events_at_the_1952_Winter_Olympics,men 's events at the 1952 winter olympics,M
Men's_events_at_the_1956_Winter_Olympics,men 's events at the 1956 winter olympics,M
Men's_events_at_the_1924_Winter_Olympics,men 's events at the 1924 winter olympics,M
Men's_events_at_the_1928_Winter_Olympics,men 's events at the 1928 winter olympics,M
Texas_Tech_Red_Raiders_women's_soccer,texas tech red raiders women 's soccer,W
Texas_Tech_Red_Raiders_men's_tennis,texas tech red raiders men 's tennis,M
Texas_Tech_Red_Raiders_women's_tennis,texas tech red raiders women 's tennis,W
Women's_universities_and_colleges_in_India_by_state_or_union_territory,women 's universities and colleges in india by state or union territory,W
Women_from_Rajasthan,women from rajasthan,W
Women_from_West_Bengal,women from west bengal,W
Women's_association_football_competitions_in_Africa,women 's association football competitions in africa,W
Women's_football_in_Algeria,women 's football in algeria,W
Women's_sports_competitions_in_Algeria,women 's sports competitions in algeria,W
South_Sudanese_women_by_occupation,south sudanese women by occupation,W
Women_in_South_Sudan,women in south sudan,W
Women_from_Maharashtra,women from maharashtra,W
Women_from_Andhra_Pradesh,women from andhra pradesh,W
Women_from_Kerala,women from kerala,W
Women's_universities_and_colleges_in_India_by_city,women 's universities and colleges in india by city,W
Women_from_Delhi,women from delhi,W
"""Women_from_Punjab", women from punjab,W
Women_from_Karnataka,women from karnataka,W
Women_from_Assam,women from assam,W
Women_from_Meghalaya,women from meghalaya,W
Lithuanian_men_by_occupation,lithuanian men by occupation,M
Lahore_College_for_Women_University,lahore college for women university,W
Lithuanian_men,lithuanian men,M
Men_by_nationality_and_occupation,men by nationality and occupation,M
Men_in_Lithuania,men in lithuania,M
2010_in_French_women's_sport,2010 in french women 's sport,W
2010–11_in_women's_association_football_by_country,2010 11 in women 's association football by country,W
2011_in_French_women's_sport,2011 in french women 's sport,W
Seasons_in_women's_association_football,seasons in women 's association football,W
2009_in_French_women's_sport,2009 in french women 's sport,W
2009–10_in_women's_association_football_by_country,2009 10 in women 's association football by country,W
2008_in_French_women's_sport,2008 in french women 's sport,W
2008–09_in_women's_association_football_by_country,2008 09 in women 's association football by country,W
D.C._United_Women,d c united women,W
Australian_male_writers,australian male writers,M
Women_of_the_Ottoman_Empire_by_occupation,women of the ottoman empire by occupation,W
Women_of_the_Ottoman_Empire,women of the ottoman empire,W
Iranic_women,iranic women,W
American_female_military_personnel,american female military personnel,W
Women_in_the_American_Civil_War,women in the american civil war,W
18th-century_Russian_women,18th century russian women,W
College_men's_ice_hockey_team_seasons_in_the_United_States,college men 's ice hockey team seasons in the united states,M
College_women's_ice_hockey_coaches_in_the_United_States,college women 's ice hockey coaches in the united states,W
1998–99_in_American_women's_ice_hockey,1998 99 in american women 's ice hockey,W
1998–99_in_women's_ice_hockey_leagues,1998 99 in women 's ice hockey leagues,W
1999–2000_in_women's_ice_hockey_leagues,1999 2000 in women 's ice hockey leagues,W
Vermont_Catamounts_women's_ice_hockey,vermont catamounts women 's ice hockey,W
St._Cloud_State_Huskies_women's_ice_hockey,st cloud state huskies women 's ice hockey,W
Mercyhurst_Lakers_women's_ice_hockey,mercyhurst lakers women 's ice hockey,W
Sacred_Heart_Pioneers_women's_ice_hockey,sacred heart pioneers women 's ice hockey,W
Clarkson_Golden_Knights_women's_ice_hockey,clarkson golden knights women 's ice hockey,W
Colgate_Raiders_women's_ice_hockey,colgate raiders women 's ice hockey,W
RPI_Engineers_women's_ice_hockey,rpi engineers women 's ice hockey,W
Boston_University_Terriers_women's_ice_hockey,boston university terriers women 's ice hockey,W
UConn_Huskies_women's_ice_hockey,uconn huskies women 's ice hockey,W
Maine_Black_Bears_women's_ice_hockey,maine black bears women 's ice hockey,W
Syracuse_Orange_women's_ice_hockey,syracuse orange women 's ice hockey,W
Wayne_State_Warriors_women's_ice_hockey,wayne state warriors women 's ice hockey,W
Men's_sport_in_Italy,men 's sport in italy,M
Men's_sport_in_South_Africa,men 's sport in south africa,M
Scottish_female_prostitutes,scottish female prostitutes,W
Works_about_men,works about men,M
Women_in_Scotland,women in scotland,W
1991_FIFA_Women's_World_Cup,1991 fifa women 's world cup,W
English_female_prostitutes,english female prostitutes,W
Providence_Friars_women's_basketball,providence friars women 's basketball,W
Penn_State_Nittany_Lions_men's_ice_hockey,penn state nittany lions men 's ice hockey,M
Women's_national_sports_teams_of_Japan,women 's national sports teams of japan,W
History_of_the_United_States_women's_national_soccer_team,history of the united states women 's national soccer team,W
Women's_football_in_Nigeria,women 's football in nigeria,W
Women's_sports_competitions_in_Nigeria,women 's sports competitions in nigeria,W
Mexican_women_painters,mexican women painters,W
Women's_football_in_Wales,women 's football in wales,W
Women's_national_sports_teams_of_Wales,women 's national sports teams of wales,W
USC_Trojans_women's_soccer,usc trojans women 's soccer,W
Texas_Tech_Red_Raiders_women's_golf,texas tech red raiders women 's golf,W
Texas_Tech_Red_Raiders_men's_golf,texas tech red raiders men 's golf,M
William_&_Mary_Tribe_women's_basketball,william mary tribe women 's basketball,W
Women's_sports_by_sport_and_country,women 's sports by sport and country,W
Women's_association_football_by_continent,women 's association football by continent,W
