women fishers;	fishers
women civil rights workers;	civil rights workers
women entertainers;	entertainers
women theater critics;	theater critics
women primatologists;	primatologists
minority women in the professions;	minorities in the professions
women salt workers;	salt workers
women novelists, australian;	novelists, australian
women horse owners;	horse owners
women marine scientists;	marine scientists
women indianists;	indianists
women theologians;	theologians
women anti-apartheid activists;	anti-apartheid activists
moravian women;	moravians
african american women screenwriters;	african american screenwriters
female assassins;	assassins
women dramatists, greek (modern);	dramatists, greek (modern)
women surfers;	surfers
women, builsa;	builsa (african people)
women pediatricians;	pediatricians
women accordionists;	accordionists
women poets, austrian;	poets, austrian
women death row inmates;	death row inmates
women, harari;	harari (african people)
women dressmakers;	dressmakers
women, cook islander;	cook islanders
bodybuilding for women;	bodybuilding
women clergy;	clergy
women sprinters;	sprinters
women tramps;	tramps
music by african american women composers;	music by african american composers
south asian american women;	south asian americans
women authors, slovenian;	authors, slovenian
women fencers;	fencers
sedentary women;	sedentary people
women novelists, german;	novelists, german
women printers;	printers
women, rodiya;	rodiya (sri lankan people)
inuit women;	inuit
women flute players in art;	flute players in art
women novelists, canadian;	novelists, canadian
in-line skating for women;	in-line skating
women computer scientists;	computer scientists
women physicists;	physicists
women science students;	science students
mennonite women;	mennonites
women carcinologists;	carcinologists
women medalists;	medalists
judo for women;	judo
women novelists, new zealand;	novelists, new zealand
women, bobo dioula;	bobo dioula (african people)
zoroastrian women;	zoroastrians
cuban american women television personalities;	cuban american television personalities
women asianists;	asianists
women saints in literature;	saints in literature
african american women rock musicians;	african american rock musicians
women, walmajarri;	walmajarri (australian people)
mentally ill women;	mentally ill
women saints in art;	saints in art
women serial murderers;	serial murderers
women figure skaters;	figure skaters
women translators;	translators
women fire lookouts;	fire lookouts
women healers;	healers
women, baruya;	baruya (papua new guinean people)
women marine mammalogists;	marine mammalogists
women governors;	governors
women broadcasters;	broadcasters
women, yuin;	yuin (australian people)
hispanic american women authors;	hispanic american authors
women agriculturists;	agriculturists
jewish women philanthropists;	jewish philanthropists
women storytellers;	storytellers
women glassworkers;	glassworkers
women dermatologists;	dermatologists
women's periodicals, australian;	australian periodicals
women poets, uruguayan;	poets, uruguayan
women athletic trainers;	athletic trainers
women, wiru;	wiru (papua new guinean people)
women clerks (retail trade);	clerks (retail trade)
women polo players;	polo players
women archaeologists;	archaeologists
women critics;	critics
women poets, ukrainian;	poets, ukrainian
women, senufo;	senufo (african people)
african american women basketball players;	african american basketball players
women, logooli;	logooli (african people)
women foreign workers;	foreign workers
women's restrooms;	restrooms
women authors, bolivian;	authors, bolivian
women novelists, swedish;	novelists, swedish
women nazis;	nazis
women travelers;	travelers
women library administrators;	library administrators
women with disabilities in literature;	people with disabilities in literature
women illustrators;	illustrators
women cigar makers;	cigar makers
women and death;	death
women authors, west indian;	authors, west indian
women cabinet officers;	cabinet officers
african american women scholars;	african american scholars
indian women astronauts;	indian astronauts
women's periodicals, polish;	polish periodicals
women medical technologists;	medical technologists
women air pilots;	air pilots
women forensic anthropologists;	forensic anthropologists
women authors, nigerian;	authors, nigerian
african american women healers;	african american healers
women jurors;	jurors
women prisoners in art;	prisoners in art
women poets, tamil;	poets, tamil
women missionaries;	missionaries
women sailors;	sailors
women botanizers;	botanizers
muslim women in art;	muslims in art
women, danube swabian;	danube swabians
women football players;	football players
women conductors (music);	conductors (music)
women veterinary students;	veterinary students
women, dagaaba;	dagaaba (african people)
women prisoners in literature;	prisoners in literature
women, sumi naga;	sumi naga (indic people)
women dramatists, australian;	dramatists, australian
women heroes in literature;	heroes in literature
minority women in literature;	minorities in literature
african american women public relations personnel;	african american public relations personnel
latter day saint women missionaries;	latter day saint missionaries
hockey for women;	hockey
women, madurese;	madurese (indonesian people)
women political candidates;	political candidates
women independent filmmakers;	independent filmmakers
women consultants;	consultants
indian women college students;	indian college students
nahua women;	nahuas
women jewish scholars;	jewish scholars
women authors, chinese;	authors, chinese
mixtec women weavers;	mixtec weavers
women copy writers;	copy writers
methodist women;	methodists
african american women household employees;	african american household employees
women art dealers;	art dealers
women sportscasters;	sportscasters
asian american women in literature;	americans in literature
female monsters;	monsters
women authors, argentine;	authors, argentine
women novelists, catalan;	novelists, catalan
women novelists, norwegian;	novelists, norwegian
women gladiators;	gladiators
women professional employees;	professional employees
self-employed women;	self-employed
women cat owners;	cat owners
women, baka;	baka (west african people)
women, meo;	meo (indic people)
women, pedi;	pedi (african people)
women's periodicals, canadian;	canadian periodicals
women poets, belarusian;	poets, belarusian
women, lao;	lao (tai people)
women dramatists, argentine;	dramatists, argentine
indian women sculptors;	indian sculptors
indian women veterans;	indian veterans
jewish women cartoonists;	jewish cartoonists
successful women;	successful people
women, lambadi;	lambadi (indic people)
women intellectuals;	intellectuals
women authors, greek;	authors, greek
women baseball team owners;	baseball team owners
church work with older women;	church work with older people
women pacifists;	pacifists
african american women athletes;	african american athletes
women intellectuals in literature;	intellectuals in literature
women private investigators;	private investigators
women guerrillas;	guerrillas
women drug dealers;	drug dealers
women skaters;	skaters
hispanic american women artists;	hispanic american artists
women jockeys;	jockeys
women presidents on television;	presidents on television
african american women abolitionists;	african american abolitionists
women automobile racing drivers;	automobile racing drivers
spiritual retreats for women;	spiritual retreats
women, rajput;	rajput (indic people)
women labor union members;	labor union members
mexican american women in literature;	americans in literature
women, kgatla;	kgatla (african people)
women authors, south african;	authors, south african
swimming for women;	swimming
women authors, kannada;	authors, kannada
women basketball coaches;	basketball coaches
nahua women weavers;	nahua weavers
women ambulance drivers;	ambulance drivers
women pirates;	pirates
women college teachers;	college teachers
women cardiologists;	cardiologists
women authors, marathi;	authors, marathi
hindu women saints;	hindu saints
women, chwabo;	chwabo (african people)
women, hakka;	hakka (chinese people)
women novelists;	novelists
women, banyjima;	banyjima (australian people)
women, tetum;	tetum (indonesian people)
women's computer network resources;	computer network resources
women, balanta;	balanta (african people)
female middle school athletes;	middle school athletes
poker for women;	poker
women baseball players;	baseball players
children of women drug addicts;	children of drug addicts
libraries and women;	libraries
leadership in women;	leadership
women poets, canadian;	poets, canadian
women area specialists;	area specialists
sea kayaking for women;	sea kayaking
women, ashanti;	ashanti (african people)
women paleontologists;	paleontologists
ski jumping for women;	ski jumping
women, manga;	manga (nigerien and nigerian people)
women, gouin;	gouin (african people)
women poets, romanian;	poets, romanian
women gymnasts;	gymnasts
women lithographers;	lithographers
women authors, palestinian arab;	authors, palestinian arab
buddhist women in art;	buddhists in art
women coaches (athletics);	coaches (athletics)
women poets, spanish;	poets, spanish
catholic women authors;	catholic authors
older women authors;	older authors
women daredevils;	daredevils
women, turkana;	turkana (african people)
women blues musicians;	blues musicians
women rabbis;	rabbis
women rubber industry workers;	rubber industry workers
chronic pain in women;	chronic pain
women automobile drivers;	automobile drivers
women ethologists;	ethologists
multiracial women in literature;	multiracial people in literature
stress management for women;	stress management
women detectives in literature;	detectives in literature
african american women college teachers;	african american college teachers
women alcoholics;	alcoholics
women authors, kurdish;	authors, kurdish
women physicians;	physicians
women physical therapists;	physical therapists
women-owned architectural firms;	architectural firms
track and field for women;	track and field
brahman women;	brahman
women community college presidents;	community college presidents
women's bookplates;	bookplates
portuguese american women;	portuguese americans
women sadhus;	sadhus
women seminarians;	seminarians
women brewery workers;	brewery workers
women authors, malay;	authors, malay
mexican american women artists;	mexican american artists
women wrestlers;	wrestlers
women social workers, black;	social workers, black
women aquatic scientists;	aquatic scientists
women stringed instrument players in art;	stringed instrument players in art
women peasants;	peasants
women military cadets;	military cadets
african american women air pilots;	african american air pilots
women authors, belgian;	authors, belgian
women leather workers;	leather workers
women surveyors;	surveyors
women football coaches;	football coaches
post-traumatic stress disorder in women;	post-traumatic stress disorder
women break dancers;	break dancers
women, palestinian arab;	palestinian arabs
women election officials;	election officials
women, white, in art;	white people in art
women poets, hungarian;	poets, hungarian
women olympic athletes;	olympic athletes
women poets, azerbaijani;	poets, azerbaijani
sudanese american women;	sudanese americans
women, bilen;	bilen (african people)
african american women civic leaders;	african american civic leaders
women martial artists;	martial artists
reformatories for women;	reformatories
women commercial artists;	commercial artists
tumors in women;	tumors
female juvenile delinquents in literature;	juvenile delinquents in literature
adult education of women;	adult education
women aquatic biologists;	aquatic biologists
women authors, sri lankan;	authors, sri lankan
women authors, swiss;	authors, swiss
women, tigrinya;	tigrinya (african people)
women wood-pulp industry workers;	wood-pulp industry workers
women graduate students;	graduate students
women metal-workers;	metal-workers
women netball players;	netball players
women, igbo;	igbo (african people)
taoist women;	taoists
women novelists, english;	novelists, english
women and socialism;	socialism
mexican american women;	mexican americans
puerto rican women;	puerto ricans
women executives;	executives
women authors in literature;	authors in literature
women gardeners;	gardeners
women authors, danish;	authors, danish
hispanic american women civic leaders;	hispanic american civic leaders
women softball players;	softball players
women-owned engineering firms;	engineering firms
women newspaper editors;	newspaper editors
women musicologists;	musicologists
women alternative country musicians;	alternative country musicians
women, tiv;	tiv (african people)
women poets, indonesian;	poets, indonesian
women geographers;	geographers
women dramatists, canadian;	dramatists, canadian
vietnamese american women;	vietnamese americans
asian american women college teachers;	asian american college teachers
women conscientious objectors;	conscientious objectors
women landscape architects;	landscape architects
women's music;	music
women, enga;	enga (papua new guinean people)
women, bini;	bini (african people)
fox women;	foxes
women superheroes in mass media;	superheroes in mass media
women, orang asli;	orang asli (malaysian people)
women clothing workers;	clothing workers
women's periodicals, spanish;	spanish periodicals
women service industries workers;	service industries workers
women food service employees;	food service employees
women authors, singaporean;	authors, singaporean
women beekeepers;	beekeepers
women textile workers;	textile workers
jewish women artists;	jewish artists
women, jaintia;	jaintia (indic people)
episcopalian women;	episcopalians
women painters;	painters
women church historians;	church historians
women slaveholders;	slaveholders
african american women pacifists;	african american pacifists
women artists, black;	artists, black
women dancers in art;	dancers in art
women, lisu;	lisu (southeast asian people)
occupational training for women;	occupational training
women artisans;	artisans
women motorcyclists;	motorcyclists
women plantation owners;	plantation owners
women heads of households;	heads of households
women and philology;	philology
women intelligence officers;	intelligence officers
women band directors;	band directors
women authors, sierra leonean;	authors, sierra leonean
hispanic american women college students;	hispanic american college students
women poets, german;	poets, german
women prisoners of war;	prisoners of war
women superheroes in literature;	superheroes in literature
women's periodicals, russian;	russian periodicals
mexican american women college teachers;	mexican american college teachers
women soldiers on television;	soldiers on television
women, nubian;	nubians
minority women artists;	minority artists
women musical theater producers and directors;	musical theater producers and directors
women's periodicals, southern european;	southern european periodicals
african american women chemists;	african american chemists
alaska native women;	alaska natives
women ski jumpers;	ski jumpers
dominican american women;	dominican americans
women authors, ugandan;	authors, ugandan
women engineers;	engineers
women, kipsigis;	kipsigis (african people)
women authors, hindi;	authors, hindi
women poets, russian;	poets, russian
women authors, icelandic;	authors, icelandic
women's periodicals, irish;	irish periodicals
women printmakers;	printmakers
women, shandar;	shandar (bangladeshi people)
women motion picture editors;	motion picture editors
women and communism;	communism
women, meithei;	meithei (south asian people)
women, bhil;	bhil (indic people)
women, pushtun;	pushtuns
women skateboarders;	skateboarders
outdoor recreation for women;	outdoor recreation
women, batwa;	batwa (african people)
women basket makers;	basket makers
women's periodicals, mexican;	mexican periodicals
tzeltal women weavers;	tzeltal weavers
boxing for women;	boxing
women, samoan;	samoans
women's exchanges;	exchange
cuban american women;	cuban americans
women school principals;	school principals
women, iraqw;	iraqw (african people)
swedenborgian women;	swedenborgians
women's prayer groups;	prayer groups
women sexologists;	sexologists
autoimmune diseases in women;	autoimmune diseases
mexican american women agricultural laborers;	mexican american agricultural laborers
bengali american women;	bengali americans
women circus performers;	circus performers
women architects;	architects
women, narrinyeri;	narrinyeri (australian people)
women lyricists;	lyricists
women type designers;	type designers
women cantors (judaism);	cantors (judaism)
women, dinka;	dinka (african people)
women historians of science;	historians of science
women dramatists, english;	dramatists, english
african american women legislators;	african american legislators
women forensic scientists;	forensic scientists
women electronic data processing personnel;	electronic data processing personnel
women international relations specialists;	international relations specialists
hispanic american women healers;	hispanic american healers
volleyball for women;	volleyball
minority women in higher education;	minorities in higher education
women jewel thieves;	jewel thieves
women accountants;	accountants
women journalists in motion pictures;	journalists in motion pictures
women insurance executives;	insurance executives
cricket for women;	cricket
women, black, in popular culture;	black people in popular culture
women novelists, french;	novelists, french
chinese american women;	chinese americans
women poets, gujarati;	poets, gujarati
japanese american women soldiers;	japanese american soldiers
women imams (mosque officers);	imams (mosque officers)
women authors, slovak;	authors, slovak
hispanic american women legislators;	hispanic american legislators
women wood-engravers;	wood-engravers
women civic leaders;	civic leaders
women artists, aboriginal australian;	artists, aboriginal australian
women authors, egyptian;	authors, egyptian
christian women saints in art;	christian saints in art
hypertension in women;	hypertension
women aerospace engineers;	aerospace engineers
monastic and religious life of women;	monastic and religious life
women's periodicals, hindi;	hindi periodicals
internet and women;	internet
women politicians;	politicians
women torturers;	torturers
women dental students;	dental students
women fashion designers;	fashion designers
african american women dancers;	african american dancers
african american women civil rights workers;	african american civil rights workers
women pianists;	pianists
women geophysicists;	geophysicists
computers and women;	computers
indian women in art;	indians in art
women, baule;	baule (african people)
women entomologists;	entomologists
women costume designers;	costume designers
women museum directors;	museum directors
women authors, israeli;	authors, israeli
jewish women college teachers;	jewish college teachers
women humorists;	humorists
women and freemasonry;	freemasonry
women immigrants in motion pictures;	immigrants in motion pictures
women correctional personnel;	correctional personnel
women poets, swedish;	poets, swedish
women, wolof;	wolof (african people)
women, tamang;	tamang (nepalese people)
women transplant surgeons;	transplant surgeons
women fiddlers;	fiddlers
women television producers and directors;	television producers and directors
women poets, chinese;	poets, chinese
women glass artists;	glass artists
lacrosse for women;	lacrosse
women, yoruba;	yoruba (african people)
women music patrons;	music patrons
women, saharia;	saharia (indic people)
diabetes in women;	diabetes
women popular music fans;	popular music fans
african american women college administrators;	african american college administrators
women authors, hungarian;	authors, hungarian
hindu women in literature;	hindus in literature
women's encyclopedias and dictionaries, japanese;	encyclopedias and dictionaries, japanese
women stockbrokers;	stockbrokers
women pipe fitters;	pipe fitters
women poets, honduran;	poets, honduran
minority women college administrators;	minority college administrators
women, bariba;	bariba (african people)
women, kucabandiyā;	kucabandiyā (indic people)
women, lushai;	lushai (asian people)
married women in literature;	married people in literature
women, hamtai;	hamtai (papua new guinean people)
women, dorobo;	dorobo (african people)
women authors, costa rican;	authors, costa rican
women speechwriters;	speechwriters
women, nyaturu;	nyaturu (african people)
women heroes;	heroes
women, minianka;	minianka (african people)
asian american women authors;	asian american authors
african american women composers;	african american composers
women gold miners;	gold miners
women and city planning;	city planning
women authors, panamanian;	authors, panamanian
african american women law teachers;	african american law teachers
women healers in literature;	healers in literature
women diplomats;	diplomats
mexican american women labor union members;	mexican american labor union members
chinese american women in literature;	americans in literature
women public relations personnel;	public relations personnel
women television writers;	television writers
women, gallong;	gallong (indic people)
women chief executive officers;	chief executive officers
women ichthyologists;	ichthyologists
video games for women;	video games
african american women judges;	african american judges
women colonists;	colonists
women rowers;	rowers
women divers;	divers
women landowners;	landowners
indian women photographers;	indian photographers
women coal miners;	coal miners
women speed skaters;	speed skaters
women college teachers in literature;	college teachers in literature
african american women physicists;	african american physicists
women refugees;	refugees
lutheran women;	lutherans
women nobel prize winners;	nobel prize winners
women, karamojong;	karamojong (african people)
women school superintendents;	school superintendents
women agricultural laborers;	agricultural laborers
women shamans;	shamans
women hymn writers;	hymn writers
women generals;	generals
women, dayak;	dayak (bornean people)
women clerks;	clerks
women, arab;	arabs
chilean american women;	chilean americans
older mexican american women;	older mexican americans
women antiheroes on television;	antiheroes on television
women drywall contractors;	drywall contractors
self-actualization (psychology) in women;	self-actualization (psychology)
african american women dramatists;	african american dramatists
women, gimi;	gimi (papua new guinean people)
aleut women basket makers;	aleut basket makers
african american women political activists;	african american political activists
pacific islander american women;	pacific islander americans
women motion picture producers and directors;	motion picture producers and directors
women authors, chilean;	authors, chilean
indian women in literature;	indians in literature
women authors, assamese;	authors, assamese
women amusement park owners;	amusement park owners
women, zaramo;	zaramo (african people)
women computer programmers;	computer programmers
women, zulu;	zulu (african people)
women's periodicals, finnish;	finnish periodicals
women muslim scholars;	muslim scholars
women tea plantation workers;	tea plantation workers
dance for women;	dance
french-canadian women;	french-canadians
women television personalities;	television personalities
women, ganda;	ganda (african people)
women's periodicals, catalan;	catalan periodicals
women, bidayuh;	bidayuh (bornean people)
women political prisoners;	political prisoners
women spiritual directors;	spiritual directors
women teachers, black;	teachers, black
women, kela;	kela (african people)
women poets, nicaraguan;	poets, nicaraguan
women archaeology teachers;	archaeology teachers
women fantasy gamers;	fantasy gamers
hispanic american women television personalities;	hispanic american television personalities
basketball for women;	basketball
women bacteriologists;	bacteriologists
women insurance agents;	insurance agents
women poets, chilean;	poets, chilean
women performance artists;	performance artists
women, berber;	berbers
women's shoes;	shoes
women war criminals;	war criminals
black seminole women;	black seminoles
latter day saint women authors;	latter day saint authors
women-owned landscape architectural firms;	landscape architectural firms
women, gamo;	gamo (african people)
women poets, irish;	poets, irish
women cinematographers;	cinematographers
women poets, basque;	poets, basque
women with social disabilities;	people with social disabilities
women, chewa;	chewa (african people)
women art historians;	art historians
women authors, telugu;	authors, telugu
women bankers;	bankers
developmentally disabled women;	developmentally disabled
women authors, algerian;	authors, algerian
women, bafokeng;	bafokeng (african people)
african american women social reformers;	african american social reformers
women and psychoanalysis;	psychoanalysis
women authors, nepali;	authors, nepali
african american women television journalists;	african american television journalists
women dramatists, irish;	dramatists, irish
women basketball players;	basketball players
women theatrical producers and directors;	theatrical producers and directors
women's periodicals, new zealand;	new zealand periodicals
jewish women physicians;	jewish physicians
women geologists;	geologists
women colonial administrators;	colonial administrators
minority women college teachers;	minority college teachers
women, raj gond;	raj gond (indic people)
women's periodicals, american;	american periodicals
muslim women authors;	muslim authors
indian women jewelers;	indian jewelers
women, berawan;	berawan (malaysian people)
hawaiian women;	hawaiians
women rap musicians;	rap musicians
women dog owners;	dog owners
jewish women comedians;	jewish comedians
women, kamilaroi;	kamilaroi (australian people)
professional education of women;	professional education
women revolutionaries;	revolutionaries
women, uighur;	uighur (turkic people)
women apprentices;	apprentices
muslim women in literature;	muslims in literature
women, nisi;	nisi (indic people)
women snowboarders;	snowboarders
hawaiian women in art;	hawaiians in art
women, ifugao;	ifugao (philippine people)
women, !kung;	!kung (african people)
women, mafa;	mafa (african people)
women economics historians;	economics historians
women radio writers;	radio writers
women's periodicals, austrian;	austrian periodicals
women dramatists, persian;	dramatists, persian
women poets, vietnamese;	poets, vietnamese
golf for women;	golf
female gangs;	gangs
women mayors;	mayors
argentine american women;	argentine americans
women medical students;	medical students
women conservationists;	conservationists
women bank employees;	bank employees
women sportswriters;	sportswriters
women rice workers;	rice workers
women, magar;	magar (nepalese people)
women school administrators;	school administrators
women genocide survivors;	genocide survivors
women, torres strait islander;	torres strait islanders
women authors, turkmen;	authors, turkmen
women nazi concentration camp guards;	nazi concentration camp guards
minority women college graduates;	minority college graduates
women's periodicals, japanese;	japanese periodicals
women medical historians;	medical historians
women analysands;	analysands
women, gisiga;	gisiga (african people)
women authors, black;	authors, black
women authors, mexican;	authors, mexican
women exhibitors;	exhibitors
women silversmiths;	silversmiths
indian women dancers;	indian dancers
indian women poets;	indian poets
african american women politicians;	african american politicians
women regents;	regents
women, rendille;	rendille (african people)
women christian educators;	christian educators
women amusement ride owners;	amusement ride owners
women presidential candidates;	presidential candidates
women physical education teachers;	physical education teachers
women, bamileke;	bamileke (african people)
creative ability in women;	creative ability
women, chakma;	chakma (asian people)
women cartographers;	cartographers
women benefactors;	benefactors
separated women;	separated people
women, black, in art;	black people in art
african american women golfers;	african american golfers
women drug addicts;	drug addicts
jewish religious education of women;	jewish religious education
indian women in motion pictures;	indians in motion pictures
women authors, scandinavian;	authors, scandinavian
women authors, dominican;	authors, dominican
women dramatists, arab;	dramatists, arab
indian women artists;	indian artists
women miners;	miners
women bass guitarists;	bass guitarists
women bookplate designers;	bookplate designers
soccer for women;	soccer
women political consultants;	political consultants
inca women;	incas
women artists in literature;	artists in literature
women's periodicals, persian;	persian periodicals
women circus performers in literature;	circus performers in literature
assyrian women;	assyrians
women, lebou;	lebou (african people)
african american women school principals;	african american school principals
women team handball players;	team handball players
women veterinarians;	veterinarians
jamaican american women;	jamaican americans
carrier women;	carriers
children of women prisoners;	children of prisoners
women physician executives;	physician executives
fly fishing for women;	fly fishing
women, sami;	sami (european people)
women authors, yiddish;	authors, yiddish
women bishops;	bishops
women, bambara;	bambara (african people)
women, kwena;	kwena (african people)
women guitarists;	guitarists
women orienteers;	orienteers
women anthropologists;	anthropologists
women's periodicals, swedish;	swedish periodicals
muslim women saints;	muslim saints
women, anglo-indian;	anglo-indians
jewish women basketball players;	jewish basketball players
women computational neuroscientists;	computational neuroscientists
greek american women;	greek americans
women, hausa;	hausa (african people)
women communists;	communists
women, tarok;	tarok (african people)
karaite women;	karaites
hispanic american women in literature;	americans in literature
women's periodicals, chinese;	chinese periodicals
women library employees;	library employees
women goldsmiths;	goldsmiths
women hermits;	hermits
muslim women in motion pictures;	muslims in motion pictures
