CATEGORY,CLEANED,YEAR_ADDED,GENDER
Alaska Native women,alaska native women,2009,W
Male reproductive health,male reproductive health,2009,M
Men's health services,men 's health services,2009,M
Male reproductive health services,male reproductive health services,2009,M
"Women poets, Indonesian",indonesian women poets,2009,W
Sexual minority women,sexual minority women,2009,W
Women tomato industry employees,women tomato industry employees,2009,W
"Women novelists, Brazilian",brazilian women novelists,2009,W
"Women's periodicals, Slovenian",slovenian women 's periodicals,2009,W
African American women in higher education,african american women in higher education,2009,W
Married men,married men,2009,M
"National Women's Monument (Bloemfontein, South Africa)",south africa ) national women 's monument ( bloemfontein,2009,W
Rugby football for women,rugby football for women,2009,W
Unitarian women,unitarian women,2009,W
Women detectives in motion pictures,women detectives in motion pictures,2009,W
"Women poets, Venezuelan",venezuelan women poets,2009,W
Inuit women in art,inuit women in art,2009,W
Inuit women sculptors,inuit women sculptors,2009,W
Female middle school athletes,female middle school athletes,2009,W
Male junior high school athletes,male junior high school athletes,2009,M
Male athletes,male athletes,2009,M
"Jewish women, Oriental",oriental jewish women,2009,W
"Women poets, Scandinavian",scandinavian women poets,2009,W
Male white collar workers,male white collar workers,2009,M
"Women poets, Estonian",estonian women poets,2009,W
Female juvenile delinquents in literature,female juvenile delinquents in literature,2009,W
Cambodian American women,cambodian american women,2010,W
"Gay men's writings, Cuban",cuban gay men 's writings,2009,M
Muslim gay men,muslim gay men,2009,M
Women and human security,women and human security,2009,W
Women boxers in motion pictures,women boxers in motion pictures,2010,W
Middle-aged women in literature,middle aged women in literature,2010,W
Quaker women missionaries,quaker women missionaries,2010,W
Women amusement park owners,women amusement park owners,2010,W
Muslim men,muslim men,2009,M
Reformed Church women,reformed church women,2010,W
Women in the Puranas,women in the puranas,2010,W
"Women, Gallong",gallong women,2010,W
Women soldiers in mass media,women soldiers in mass media,2010,W
Women college teachers in literature,women college teachers in literature,2010,W
Middle-aged women in motion pictures,middle aged women in motion pictures,2010,W
Hypertension in women,hypertension in women,2010,W
Male long-distance runners,male long distance runners,2010,M
Indian women educators,indian women educators,2010,W
Women torturers,women torturers,2010,W
Violence in women in popular culture,violence in women in popular culture,2010,W
Women heroes in mass media,women heroes in mass media,2010,W
"Women novelists, Swedish",swedish women novelists,2010,W
Women immigrants in motion pictures,women immigrants in motion pictures,2010,W
Women soccer fans,women soccer fans,2010,W
Hispanic American women on television,hispanic american women on television,2010,W
Hispanic American women in motion pictures,hispanic american women in motion pictures,2010,W
"Women authors, Malay",malay women authors,2010,W
Yanomamo women,yanomamo women,2010,W
"Women, Anglo-Indian, in literature",anglo indian women in literature,2010,W
Women theater critics,women theater critics,2010,W
Exiled women dancers,exiled women dancers,2010,W
Male lawyers,male lawyers,2010,M
Women ascetics,women ascetics,2010,W
Women ascetics in art,women ascetics in art,2010,W
"Women, Mari",mari women,2010,W
Sedentary women,sedentary women,2010,W
"Women dramatists, Greek (Modern)",greek ( modern ) women dramatists,2010,W
African American women art dealers,african american women art dealers,2010,W
Women in the chocolate industry,women in the chocolate industry,2010,W
Women in biodiversity conservation,women in biodiversity conservation,2010,W
Older women athletes,older women athletes,2010,W
Field hockey for women,field hockey for women,2010,W
Korean American women golfers,korean american women golfers,2010,W
Shaker women in literature,shaker women in literature,2010,W
Women soldiers on television,women soldiers on television,2010,W
Women economics historians,women economics historians,2010,W
Hispanic American bisexual women,hispanic american bisexual women,2010,W
"Women, Turkmen",turkmen women,2010,W
Swiss American women,swiss american women,2010,W
Working class women in motion pictures,working class women in motion pictures,2010,W
Women volunteers,women volunteers,2010,W
"Women, East Indian",east indian women,2010,W
Oneida women,oneida women,2010,W
"Women, Bwa",bwa women,2010,W
"Generative organs, Female, in literature",female generative organs in literature,2010,W
Christian education of young men,christian education of young men,2010,M
Women crab industry employees,women crab industry employees,2010,W
Women imams (Mosque officers),women imams ( mosque officers ),2010,W
"Women authors, Kurdish",kurdish women authors,2010,W
Children of women drug addicts,children of women drug addicts,2010,W
Baul women,baul women,2010,W
Women alternative country musicians,women alternative country musicians,2010,W
"Women authors, Slovak",slovak women authors,2010,W
Women internal migrants,women internal migrants,2010,W
Men's choirs,men 's choirs,2010,M
Runaway women,runaway women,2011,W
Runaway women in literature,runaway women in literature,2011,W
"Women poets, Pushto",pushto women poets,2011,W
Enslaved women (Jewish law),enslaved women ( jewish law ),2011,W
"Women authors, Sri Lankan",sri lankan women authors,2011,W
Preaching to men,preaching to men,2011,M
Single women on television,single women on television,2011,W
Women opera producers and directors,women opera producers and directors,2011,W
Women carpenters,women carpenters,2011,W
Women sportscasters,women sportscasters,2011,W
Single men in literature,single men in literature,2011,M
Male rape in literature,male rape in literature,2011,M
Women basket makers,women basket makers,2011,W
Aleut women basket makers,aleut women basket makers,2011,W
Women professional employees,women professional employees,2011,W
Jewish women philanthropists,jewish women philanthropists,2011,W
Women singers in motion pictures,women singers in motion pictures,2011,W
Male cross-country runners,male cross country runners,2011,M
Male college athletes,male college athletes,2011,M
"Women, Adygei",adygei women,2011,W
Women orienteers,women orienteers,2011,W
Women Olympic athletes,women olympic athletes,2011,W
"Women's periodicals, Australian",australian women 's periodicals,2011,W
Jewish women athletes,jewish women athletes,2011,W
African American women track and field athletes,african american women track and field athletes,2011,W
"Women, Male (African people)",male ( african people ) women,2011,A
Male quiltmakers,male quiltmakers,2011,M
Women's choirs,women 's choirs,2011,W
Single women in motion pictures,single women in motion pictures,2011,W
"Women, Tswana",tswana women,2011,W
"Women painters, Romani",romani women painters,2011,W
African American women politicians,african american women politicians,2011,W
Women beekeepers,women beekeepers,2011,W
Emirates Women Award,emirates women award,2011,W
Women in disaster relief,women in disaster relief,2011,W
Women sport psychologists,women sport psychologists,2012,W
"Women authors, Sindhi",sindhi women authors,2011,W
Women television news anchors,women television news anchors,2011,W
Muslim women authors,muslim women authors,2011,W
Tzeltal women,tzeltal women,2011,W
Tzeltal women weavers,tzeltal women weavers,2011,W
Women drag racers,women drag racers,2011,W
Women sufis,women sufis,2011,W
Urban men,urban men,2012,M
Dalit women,dalit women,2012,W
Women and the arts,women and the arts,2012,W
Women in the hospitality industry,women in the hospitality industry,2012,W
Female symbols,female symbols,2012,W
"Women authors, Albanian",albanian women authors,2012,W
Presbyterian gay men,presbyterian gay men,2012,M
Presbyterian men,presbyterian men,2012,M
Women goldsmiths,women goldsmiths,2012,W
Samsui women,samsui women,2012,W
Women in energy development,women in energy development,2012,W
Upper class men,upper class men,2012,M
Female honeybees,female honeybees,2012,W
Women sports spectators,women sports spectators,2012,W
Women superheroes,women superheroes,2012,W
Jewish women basketball players,jewish women basketball players,2012,W
"Women authors, Malayalam",malayalam women authors,2012,W
Women poets in literature,women poets in literature,2012,W
Mixtec women weavers,mixtec women weavers,2012,W
Hyperphagia in women,hyperphagia in women,2012,W
Indian women basket makers,indian women basket makers,2012,W
Chickasaw women,chickasaw women,2012,W
Women puppeteers,women puppeteers,2012,W
Women personnel directors,women personnel directors,2012,W
Jewish women photographers,jewish women photographers,2013,W
Wild women in art,wild women in art,2013,W
Wild women in literature,wild women in literature,2013,W
"Women authors, Serbian",serbian women authors,2013,W
"Women poets, Uzbek",uzbek women poets,2013,W
"Women's periodicals, Hindi",hindi women 's periodicals,2013,W
Men in music,men in music,2013,M
Gullah men,gullah men,2013,M
Samaritan women,samaritan women,2013,W
Women roller skaters,women roller skaters,2013,W
Chumash women,chumash women,2013,W
Black Seminole women,black seminole women,2013,W
French-Canadian women,french canadian women,2013,W
Women prisoners in motion pictures,women prisoners in motion pictures,2013,W
"Women poets, Haitian",haitian women poets,2013,W
Older Navajo women,older navajo women,2013,W
Church group work with women,church group work with women,2013,W
"Women, Oirata",oirata women,2013,W
Women insurance investigators,women insurance investigators,2013,W
African American women newspaper editors,african american women newspaper editors,2013,W
Indian women photographers,indian women photographers,2013,W
"Women, Karen",karen women,2013,W
Women temporary employees,women temporary employees,2013,W
Women sadhus,women sadhus,2013,W
"Women's periodicals, Kurdish",kurdish women 's periodicals,2013,W
"Women authors, Afghan",afghan women authors,2013,W
Navajo men,navajo men,2013,M
"Women novelists, Bolivian",bolivian women novelists,2014,W
Creek women,creek women,2014,W
Navajo male weavers,navajo male weavers,2014,M
"Women authors, Palestinian Arab",palestinian arab women authors,2014,W
"Women, Murzu",murzu women,2014,W
Chorti women,chorti women,2014,W
North Carolina Distinguished Service Award for Women,north carolina distinguished service award for women,2014,W
Waccamaw women,waccamaw women,2014,W
"Women, Khasi",khasi women,2014,W
"Women, Jaintia",jaintia women,2014,W
Older men in art,older men in art,2014,M
"Women poets, Czech",czech women poets,2014,W
African American women aerospace engineers,african american women aerospace engineers,2014,W
Stó:lō women,stó lō women,2014,W
Indian women artisans,indian women artisans,2014,W
Jewish women cartoonists,jewish women cartoonists,2014,W
Women heroes in literature,women heroes in literature,2014,W
Alaska Native young women,alaska native young women,2014,W
Gifted women in motion pictures,gifted women in motion pictures,2014,W
Gifted women on television,gifted women on television,2014,W
Latter Day Saint women authors,latter day saint women authors,2014,W
"Women poets, Mexican",mexican women poets,2014,W
Sexual minority men,sexual minority men,2014,M
Photography of young men,photography of young men,2014,M
Female genital mutilation (Islamic law),female genital mutilation ( islamic law ),2014,W
Female impersonators on television,female impersonators on television,2014,W
Women Kapos,women kapos,2014,W
Tattooed women,tattooed women,2014,W
Indian women singers,indian women singers,2014,W
Women mathematics teachers,women mathematics teachers,2014,W
"Infertility, Female, in art",female infertility in art,2015,W
Asian American men in popular culture,asian american men in popular culture,2015,M
Indian women jewelers,indian women jewelers,2015,W
African American bisexual women,african american bisexual women,2015,W
"Men, Maasai",maasai men,2015,M
Indian women politicians,indian women politicians,2015,W
"Women authors, Yiddish",yiddish women authors,2015,W
African American women in art,african american women in art,2015,W
Women parolees,women parolees,2015,W
Women doctoral students,women doctoral students,2015,W
Métis women authors,métis women authors,2015,W
African American women performance artists,african american women performance artists,2015,W
Italian American men,italian american men,2015,M
Indian women college students,indian women college students,2015,W
Women in musical theater,women in musical theater,2015,W
Indian women sculptors,indian women sculptors,2015,W
Navajo women in art,navajo women in art,2015,W
"Women poets, Tamil",tamil women poets,2015,W
Havasupai women,havasupai women,2015,W
"Women, Sumi Naga",sumi naga women,2015,W
Otavalo women,otavalo women,2015,W
Male rape in art,male rape in art,2015,M
Indian women entertainers,indian women entertainers,2015,W
"Women, Talaandig",talaandig women,2015,W
African American women choreographers,african american women choreographers,2015,W
African American women photographers,african american women photographers,2015,W
African American women dancers,african american women dancers,2015,W
Yezidi women,yezidi women,2015,W
X-Men films,x men films,2015,M
Arab American men,arab american men,2015,M
Arab American men in literature,arab american men in literature,2015,M
Male beauty contests,male beauty contests,2015,M
"Women, Black, in popular culture",black women in popular culture,2015,W
Women directors of corporations,women directors of corporations,2015,W
Indian young men,indian young men,2015,M
Indigenous men,indigenous men,2016,M
Indian women painters,indian women painters,2016,W
Mataco women,mataco women,2016,W
"Women, Ainu",ainu women,2016,W
Women farmers in motion pictures,women farmers in motion pictures,2016,W
Women midwives,women midwives,2016,W
Women nurses,women nurses,2016,W
"Women poets, Romanian",romanian women poets,2016,W
Minority women college teachers,minority women college teachers,2016,W
"Women, Mon",mon women,2016,W
Women noncitizens,women noncitizens,2016,W
"Women, Turkish",turkish women,2016,W
"Women, Cypriot",cypriot women,2016,W
Women tourists,women tourists,2016,W
Male homosexuality in the theater,male homosexuality in the theater,2016,M
Nahua women weavers,nahua women weavers,2016,W
Female-to-male transsexuals in art,female to male transsexuals in art,2016,A
Russian American women,russian american women,2016,W
Abused women in art,abused women in art,2016,W
Women athletes with disabilities,women athletes with disabilities,2016,W
"Women authors, Turkmen",turkmen women authors,2016,W
"Women, Orang Asli",orang asli women,2016,W
Hispanic American bisexual men,hispanic american bisexual men,2016,M
Hispanic American gay men,hispanic american gay men,2016,M
Young male prisoners,young male prisoners,2016,M
Women's bands (Music),women 's bands ( music ),2016,W
Women in the music trade,women in the music trade,2016,W
Syriac women,syriac women,2016,W
Women fakirs,women fakirs,2016,W
"Ai Men (Lugang Zhen, Taiwan)",taiwan ) ai men ( lugang zhen,2016,M
"Women's periodicals, Serbian",serbian women 's periodicals,2016,W
Ski jumping for women,ski jumping for women,2016,W
Women ski jumpers,women ski jumpers,2016,W
Women bass guitarists,women bass guitarists,2016,W
Women guitarists,women guitarists,2016,W
Women punk rock musicians,women punk rock musicians,2016,W
Women alternative rock musicians,women alternative rock musicians,2016,W
Caingua women,caingua women,2016,W
"Women teachers, White",white women teachers,2016,W
Women video gamers,women video gamers,2017,W
Women snowboarders,women snowboarders,2017,W
"Women, Shan",shan women,2017,W
Male cheerleaders,male cheerleaders,2017,M
Women video game designers,women video game designers,2017,W
Women superheroes in motion pictures,women superheroes in motion pictures,2017,W
Women superheroes on television,women superheroes on television,2017,W
Women superheroes in literature,women superheroes in literature,2017,W
Women cricket players,women cricket players,2017,W
"Women poets, Nicaraguan",nicaraguan women poets,2017,W
Women triathletes,women triathletes,2017,W
Women ambulance drivers,women ambulance drivers,2017,W
Women athletes in art,women athletes in art,2017,W
Jewish women in popular culture,jewish women in popular culture,2017,W
Jewish women comedians,jewish women comedians,2017,W
"Women artists, Arab",arab women artists,2017,W
"Women, Cook Islander",cook islander women,2017,W
Women sexologists,women sexologists,2017,W
Women skateboarders,women skateboarders,2017,W
Comfort women in art,comfort women in art,2017,W
African American women basketball players,african american women basketball players,2017,W
African American women in television broadcasting,african american women in television broadcasting,2017,W
Women football coaches,women football coaches,2017,W
African American women rowers,african american women rowers,2017,W
African American women Olympic athletes,african american women olympic athletes,2017,W
Women sports executives,women sports executives,2017,W
African American women sports executives,african american women sports executives,2017,W
Women lithographers,women lithographers,2017,W
Woodland women,woodland women,2017,W
Women water-skiers,women water skiers,2017,W
"Women authors, Cameroonian",cameroonian women authors,2017,W
Women computer artists,women computer artists,2017,W
Clatsop women,clatsop women,2017,W
Osage women,osage women,2018,W
Women sound recording executives and producers,women sound recording executives and producers,2018,W
Tumors in women,tumors in women,2018,W
"Women, Mang",mang women,2018,W
Church work with African American men,church work with african american men,2018,M
Women muralists,women muralists,2018,W
Women in lexicography,women in lexicography,2018,W
"Men, Black",black men,2018,M
"Women poets, Romani",romani women poets,2018,W
Pentecostal men,pentecostal men,2018,M
"Women, Bidayuh",bidayuh women,2018,W
Women in science on television,women in science on television,2018,W
Female offenders in mass media,female offenders in mass media,2018,W
Minority women law teachers,minority women law teachers,2018,W
Iraqi American women,iraqi american women,2018,W
Transgender men,transgender men,2018,M
African American women pacifists,african american women pacifists,2018,W
African American women school administrators,african american women school administrators,2018,W
Transgender women,transgender women,2018,W
"Women, Bilen",bilen women,2018,W
Alevi women,alevi women,2018,W
Shiite women,shiite women,2018,W
Female seminaries,female seminaries,2018,W
Music in female seminaries,music in female seminaries,2018,W
Women (Ancient law),women ( ancient law ),2018,W
Slovenian American women,slovenian american women,2018,W
Women American loyalists,women american loyalists,2018,W
Older sexual minority women,older sexual minority women,2019,W
"Women authors, Azerbaijani",azerbaijani women authors,2019,W
Women ragpickers,women ragpickers,2019,W
Post-traumatic stress disorder in women,post traumatic stress disorder in women,2019,W
"Women authors, Pakistani",pakistani women authors,2019,W
Older women authors,older women authors,2019,W
Women atomic bomb victims,women atomic bomb victims,2019,W
"Women poets, Belarusian",belarusian women poets,2019,W
Male fans,male fans,2019,M
African American women suffragists,african american women suffragists,2019,W
African American women jewel thieves,african american women jewel thieves,2019,W
Women jewel thieves,women jewel thieves,2019,W
Nigerian American young women,nigerian american young women,2019,W
Women sound engineers,women sound engineers,2019,W
Women divers in art,women divers in art,2019,W
Women soldiers in motion pictures,women soldiers in motion pictures,2020,W
"Men, White, in mass media",white men in mass media,2020,M
Sleep apnea syndromes in women,sleep apnea syndromes in women,2020,W
Sleep disorders in women,sleep disorders in women,2020,W
Football for women,football for women,2020,W
Resilience (Personality trait) in women,resilience ( personality trait ) in women,2020,W
Minority women in mass media,minority women in mass media,2020,W
African American women superheroes,african american women superheroes,2020,W
Minority transgender women,minority transgender women,2020,W
Women sprinters,women sprinters,2020,W
African American women sprinters,african american women sprinters,2020,W
"Women, Wiru",wiru women,2020,W
Minority women activists,minority women activists,2020,W
Male murderers,male murderers,2020,M
Indian women elders (Indigenous leaders),indian women elders ( indigenous leaders ),2020,W
Women and design,women and design,2020,W
Women slaveholders,women slaveholders,2020,W
Women polo players,women polo players,2020,W
Women saints in literature,women saints in literature,2020,W
Women in peace-building,women in peace building,2020,W
Women popular music fans,women popular music fans,2020,W
Male impersonators in literature,male impersonators in literature,2020,M
"Women, Eurasian",eurasian women,2020,W
Women occultists,women occultists,2020,W
Korean American women cartoonists,korean american women cartoonists,2020,W
Korean American women illustrators,korean american women illustrators,2020,W
Hispanic American women political activists,hispanic american women political activists,2020,W
"Women household employees, Black, in art",black women household employees in art,2020,W
"Women household employees, Black, in literature",black women household employees in literature,2020,W
African American women household employees in literature,african american women household employees in literature,2020,W
Women superheroes in mass media,women superheroes in mass media,2020,W
"Women household employees, Black",black women household employees,2020,W
Women hikers,women hikers,2020,W
Buddhist women in art,buddhist women in art,2020,W
"Women authors, Marathi",marathi women authors,2021,W
Christian women saints in art,christian women saints in art,2021,W
"Women authors, Polish",polish women authors,2021,W
Cree gay men,cree gay men,2021,M
Hispanic American women college teachers,hispanic american women college teachers,2021,W
Women antiheroes,women antiheroes,2021,W
Women antiheroes on television,women antiheroes on television,2021,W
African American women in social media,african american women in social media,2021,W
Women dancers in art,women dancers in art,2021,W
African American male teachers,african american male teachers,2021,M
Women internment camp guards,women internment camp guards,2021,W
Women Nazi concentration camp guards,women nazi concentration camp guards,2021,W
Women internment camp inmates,women internment camp inmates,2021,W
Women Nazi concentration camp inmates,women nazi concentration camp inmates,2021,W
Comfort women in motion pictures,comfort women in motion pictures,2021,W
African American women television journalists,african american women television journalists,2021,W
African American women television producers and directors,african american women television producers and directors,2021,W
Pregnant women in the theater,pregnant women in the theater,2021,W
Women litigants,women litigants,2021,W
Afghan American young women,afghan american young women,2021,W
Afghan American women social reformers,afghan american women social reformers,2021,W
Ottawa women,ottawa women,2021,W
Women Rugby Union football players,women rugby union football players,2021,W
Male Rugby Union football players,male rugby union football players,2021,M
Women woodworkers,women woodworkers,2021,W
"Women's periodicals, Yugoslav",yugoslav women 's periodicals,2021,W
Women pilgrims,women pilgrims,2021,W
Women prisoners on television,women prisoners on television,2021,W
Women independent filmmakers,women independent filmmakers,2021,W
Male friendship on television,male friendship on television,2021,M
African American women fire fighters,african american women fire fighters,2022,W
Ultra-Orthodox Jewish women,ultra orthodox jewish women,2022,W
Ex-Orthodox Jewish women,ex orthodox jewish women,2022,W
Women bank robbers,women bank robbers,2022,W
Women baseball fans,women baseball fans,2022,W
"Gay men's writings, Colombian",colombian gay men 's writings,2022,M
African American women costume designers,african american women costume designers,2022,W
Palestinian American women,palestinian american women,2022,W
Women regents in art,women regents in art,2022,W
Women regents,women regents,2022,W
Women missionaries in literature,women missionaries in literature,2022,W
Men in comics,men in comics,2022,M
"Infertility, Female, in comics",female infertility in comics,2022,W
Women in comics,women in comics,2022,W
Women superheroes in comics,women superheroes in comics,2022,W
"Women, Hakka",hakka women,2022,W
Bengali American women,bengali american women,2022,W
Indian women dancers,indian women dancers,2022,W
Asian American women judges,asian american women judges,2022,W
"Women, Madurese",madurese women,2022,W
Jewish women in comics,jewish women in comics,2022,W
Women volunteers in agriculture,women volunteers in agriculture,2022,W
Women exhibitors,women exhibitors,2022,W
Female monsters in comics,female monsters in comics,2022,W
Female monsters,female monsters,2022,W
Sexual minority women in literature,sexual minority women in literature,2022,W
Sexual minority women in comics,sexual minority women in comics,2022,W
Minority women in comics,minority women in comics,2022,W
"Men, White, on television",white men on television,2022,M
Working class men on television,working class men on television,2022,M
Jewish women on television,jewish women on television,2022,W
Women's rights in art,women 's rights in art,2022,W
Muslim women superheroes in comics,muslim women superheroes in comics,2022,W
Muslim women superheroes,muslim women superheroes,2022,W
"Women, Afghan",afghan women,2022,W
African American men in comics,african american men in comics,2022,M
"Women's periodicals, Southern European",southern european women 's periodicals,2022,W
Women genocide survivors,women genocide survivors,2022,W
Indian women prisoners,indian women prisoners,2022,W
"Women, Black, in comics",black women in comics,2022,W
Women's rights in comics,women 's rights in comics,2022,W
Autistic women,autistic women,2022,W
African American women television writers,african american women television writers,2022,W
Women graphic artists,women graphic artists,2022,W
Women radio broadcasters,women radio broadcasters,2022,W
African American sexual minority women,african american sexual minority women,2023,W
Female monsters in literature,female monsters in literature,2023,W
Gay men in comics,gay men in comics,2023,M
Male homosexuality in comics,male homosexuality in comics,2023,M
African American women architects,african american women architects,2023,W
Gay men in advertising,gay men in advertising,2023,M
"Women authors, Malian",malian women authors,2023,W
Successful women,successful women,2023,W
Women cigarette smokers,women cigarette smokers,2023,W
Female wolves,female wolves,2023,W
"Women poets, Armenian",armenian women poets,2023,W
"Women authors, Armenian",armenian women authors,2023,W
African American women in comics,african american women in comics,2023,W
Women spiritualists,women spiritualists,2023,W
Female friendship on television,female friendship on television,2023,W
Japanese American young women,japanese american young women,2023,W
Women print dealers,women print dealers,2023,W
African American women doctoral students,african american women doctoral students,2023,W
Male quiltmakers in literature,male quiltmakers in literature,2023,M
Women cardiologists,women cardiologists,2023,W
Sailing for women,sailing for women,2023,W
Women Muslim scholars,women muslim scholars,2023,W
Women technologists,women technologists,2023,W
"Women, Circassian, in literature",circassian women in literature,2023,W
"Women, Circassian",circassian women,2023,W
Loss (Psychology) in women,loss ( psychology ) in women,2023,W
"Women, Uighur",uighur women,2023,W
Women flute players,women flute players,2023,W
Women flute players in art,women flute players in art,2023,W
Women stringed instrument players,women stringed instrument players,2023,W
Women stringed instrument players in art,women stringed instrument players in art,2023,W
Women with attention-deficit hyperactivity disorder,women with attention deficit hyperactivity disorder,2023,W
Women magicians,women magicians,2023,W
Cahita women,cahita women,2023,W
Yuit Eskimo women,yuit eskimo women,2023,W
Italian American gay men,italian american gay men,2023,M
Mexican American gay men,mexican american gay men,2023,M
Minority gay men,minority gay men,2023,M
African American women orators,african american women orators,2023,W
"Women, Circassian, in art",circassian women in art,2023,W
Parents of gay men,parents of gay men,2023,M
Lumbee women,lumbee women,2023,W
Okanagan women,okanagan women,2023,W
"Sexual minority men's writings, Nigerian (English)",nigerian ( english ) sexual minority men 's writings,2023,M
Sexual minority men's writings,sexual minority men 's writings,2023,M
"Women, Sahrawi",sahrawi women,2023,W
Indian women astronauts,indian women astronauts,2024,W
Women flower arrangers,women flower arrangers,2024,W
Pregnant men,pregnant men,2024,M
Sexual minority women on television,sexual minority women on television,2024,W
Women pool players,women pool players,2024,W
Developmentally disabled women,developmentally disabled women,2024,W
Minority women college students,minority women college students,2024,W
Women antiheroes in literature,women antiheroes in literature,2024,W
Loss (Psychology) in men,loss ( psychology ) in men,2024,M
Adult education of women,adult education of women,1986,W
African American men,african american men,2000,M
African American women,african american women,2000,W
African American women athletes,african american women athletes,2000,W
African American women authors,african american women authors,2000,W
African American women composers,african american women composers,2000,W
African American women executives,african american women executives,2000,W
African American women musicians,african american women musicians,2000,W
Older men,older men,2005,M
Older women,older women,2005,W
Women anthropologists,women anthropologists,1986,W
Asian American women,asian american women,1986,W
Ballet dancing for men,ballet dancing for men,1986,M
Basketball for women,basketball for women,1986,W
Boating for women,boating for women,1986,W
Bodybuilding for women,bodybuilding for women,1986,W
Women's bookplates,women 's bookplates,1986,W
"Cantatas, Sacred (Men's voices)",sacred ( men 's voices ) cantatas,1986,M
"Cantatas, Sacred (Women's voices)",sacred ( women 's voices ) cantatas,1986,W
"Cantatas, Secular (Men's voices)",secular ( men 's voices ) cantatas,1986,M
"Cantatas, Secular (Women's voices)",secular ( women 's voices ) cantatas,1986,W
Children of women prisoners,children of women prisoners,1986,W
Chinese American women,chinese american women,1986,W
"Choruses, Sacred (Men's voices)",sacred ( men 's voices ) choruses,1986,M
"Choruses, Sacred (Men's voices, 4 parts)",sacred choruses ( 4 parts men 's voices ),1986,M
"Choruses, Sacred (Men's voices, 4 parts), Unaccompanied",sacred choruses ( 4 parts men 's voices ) unaccompanied,1986,M
"Choruses, Sacred (Men's voices, 4 parts) with piano, 4 hands",sacred choruses ( 4 parts men 's voices ) 4 hands with piano,1986,M
"Choruses, Sacred (Men's voices), Unaccompanied",sacred choruses ( men 's voices ) unaccompanied,1986,M
"Choruses, Sacred (Men's voices) with band",sacred ( men 's voices ) with band choruses,1986,M
"Choruses, Sacred (Men's voices) with instrumental ensemble",sacred ( men 's voices ) with instrumental ensemble choruses,1986,M
"Choruses, Sacred (Men's voices) with orchestra",sacred ( men 's voices ) with orchestra choruses,1986,M
"Choruses, Sacred (Men's voices) with organ",sacred ( men 's voices ) with organ choruses,1986,M
"Choruses, Sacred (Men's voices) with piano",sacred ( men 's voices ) with piano choruses,1986,M
"Choruses, Sacred (Women's voices)",sacred ( women 's voices ) choruses,1986,W
"Choruses, Sacred (Women's voices, 3 parts) with harp",sacred choruses ( 3 parts women 's voices ) with harp,1986,W
"Choruses, Sacred (Women's voices, 4 parts)",sacred choruses ( 4 parts women 's voices ),1986,W
"Choruses, Sacred (Women's voices, 4 parts), Unaccompanied",sacred choruses ( 4 parts women 's voices ) unaccompanied,1986,W
"Choruses, Sacred (Women's voices, 4 parts) with piano",sacred choruses ( 4 parts women 's voices ) with piano,1986,W
"Choruses, Sacred (Women's voices, 8 parts), Unaccompanied",sacred choruses ( 8 parts women 's voices ) unaccompanied,1986,W
"Choruses, Sacred (Women's voices), Unaccompanied",sacred choruses ( women 's voices ) unaccompanied,1986,W
"Choruses, Sacred (Women's voices) with chamber orchestra",sacred ( women 's voices ) with chamber orchestra choruses,1986,W
"Choruses, Sacred (Women's voices) with instrumental ensemble",sacred ( women 's voices ) with instrumental ensemble choruses,1986,W
"Choruses, Sacred (Women's voices) with orchestra",sacred ( women 's voices ) with orchestra choruses,1986,W
"Choruses, Sacred (Women's voices) with organ",sacred ( women 's voices ) with organ choruses,1986,W
"Choruses, Sacred (Women's voices) with piano",sacred ( women 's voices ) with piano choruses,1986,W
"Choruses, Sacred (Women's voices) with string orchestra",sacred ( women 's voices ) with string orchestra choruses,1986,W
"Choruses, Secular (Men's voices)",secular ( men 's voices ) choruses,1986,M
"Choruses, Secular (Men's voices, 3 parts) with percussion",secular choruses ( 3 parts men 's voices ) with percussion,1986,M
"Choruses, Secular (Men's voices, 3 parts) with violin",secular choruses ( 3 parts men 's voices ) with violin,1986,M
"Choruses, Secular (Men's voices, 4 parts)",secular choruses ( 4 parts men 's voices ),1986,M
"Choruses, Secular (Men's voices, 4 parts), Unaccompanied",secular choruses ( 4 parts men 's voices ) unaccompanied,1986,M
"Choruses, Secular (Men's voices) with keyboard ensemble",secular ( men 's voices ) with keyboard ensemble choruses,1986,M
"Choruses, Secular (Men's voices, 8 parts), Unaccompanied",secular choruses ( 8 parts men 's voices ) unaccompanied,1986,M
"Choruses, Secular (Men's voices), Unaccompanied",secular choruses ( men 's voices ) unaccompanied,1986,M
"Choruses, Secular (Men's voices) with accordion",secular ( men 's voices ) with accordion choruses,1986,M
"Choruses, Secular (Men's voices) with band",secular ( men 's voices ) with band choruses,1986,M
"Choruses, Secular (Men's voices) with electronics",secular ( men 's voices ) with electronics choruses,1986,M
"Choruses, Secular (Men's voices) with instrumental ensemble",secular ( men 's voices ) with instrumental ensemble choruses,1986,M
"Choruses, Secular (Men's voices) with orchestra",secular ( men 's voices ) with orchestra choruses,1986,M
"Choruses, Secular (Men's voices) with piano",secular ( men 's voices ) with piano choruses,1986,M
"Choruses, Secular (Men's voices) with piano, 4 hands",secular choruses ( men 's voices ) 4 hands with piano,1986,M
"Choruses, Secular (Men's voices) with string orchestra",secular ( men 's voices ) with string orchestra choruses,1986,M
"Choruses, Secular (Women's voices)",secular ( women 's voices ) choruses,1986,W
